source	source_id	source_site_name	site_name	latitude	longitude	phase	phase_description	phase_code	age_start	age_end	taxon_source	n	prop	reference	taxon	genus	family	crop_type	grass_type	legume_type	wood	age_mid	period
ORIGINS	16432–16432	Ayn Abu Nukhayla	Ayn Abu Nakhayla	29.84	35.24	PPNB	NA	AANU PPNB	9578	9401	Acacia/Prosopis	1	0.5	HenryEtal03	NA	NA	Fabaceae	Wild	NA	Large/medium-seeded	NA	9489.5	LPPNB
ORIGINS	16431–16431	Ayn Abu Nukhayla	Ayn Abu Nakhayla	29.84	35.24	PPNB	NA	AANU PPNB	9578	9401	Arnebia decumbens	0	0	HenryEtal03	Arnebia decumbens	Arnebia	Boraginaceae	Wild	NA	NA	NA	9489.5	LPPNB
ORIGINS	16434–16434	Ayn Abu Nukhayla	Ayn Abu Nakhayla	29.84	35.24	PPNB	NA	AANU PPNB	9578	9401	Fabaceae	0	0	HenryEtal03	NA	NA	Fabaceae	Wild	NA	Inteterminate	NA	9489.5	LPPNB
ORIGINS	16433–16433	Ayn Abu Nukhayla	Ayn Abu Nakhayla	29.84	35.24	PPNB	NA	AANU PPNB	9578	9401	Gypsophila	1	0.5	HenryEtal03	Gypsophila sp.	Gypsophila	Caryophillaceae	Wild	NA	NA	NA	9489.5	LPPNB
ORIGINS	12376–12579	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Aizoon hispanicum	12	9.450307134981887e-4	MooreEtal2000;MooreEtal2000;MooreEtal2000	Aizoon hispanicum	Aizoon	Aizoaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12211–12211	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Alyssum	3	2.3625767837454718e-4	MooreEtal2000	Alyssum sp.	Alyssum	Brassicaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12230–12237	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Anabasis/Noaea	9	7.087730351236415e-4	MooreEtal2000;MooreEtal2000	NA	NA	Amaranthaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12393–12446	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Arenaria serpyllifolia	18	0.001417546070247283	MooreEtal2000;MooreEtal2000;MooreEtal2000	Arenaria serpyllifolia	Arenaria	Caryophyllaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12373–12583	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Arnebia decumbens	616	0.04851157662624035	MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000	Arnebia decumbens	Arnebia	Boraginaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12374–12577	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Arnebia linearifolia	20	0.001575051189163648	MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000	Arnebia linearifolia	Arnebia	Boraginaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12572–12572	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Asclepiadaceae	3	2.3625767837454718e-4	MooreEtal2000	NA	NA	Apocynaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12562–12581	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Asparagus	6	4.7251535674909436e-4	MooreEtal2000;MooreEtal2000	Asparagus sp.	Asparagus	Asparagaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	11981–11981	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Asphodelus aestivus	18	0.001417546070247283	MooreEtal2000	Asphodelus aestivus	Asphodelus	Asphodelaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12377–12586	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Asteraceae	76	0.0059851945188218614	MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000	NA	NA	Asteraceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12383–12756	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Atriplex	105	0.008269018743109152	MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000	Atriplex sp.	Atriplex	Chenopodiaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12088–12088	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Avena sterilis	3	2.3625767837454718e-4	MooreEtal2000	Avena sterilis	Avena	Poaceae	Wild	Large/medium-seeded	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12195–12238	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Bassia arabica	61	0.004803906126949126	MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000	Bassia arabica	Bassia	Amaranthaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12556–12574	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Bellevalia/Ornithogalum	6	4.7251535674909436e-4	MooreEtal2000;MooreEtal2000	NA	NA	Asparagaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12425–12761	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Bolboschoenus maritimus/Eleocharis dulcis	3192	0.2513781697905182	MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000	NA	NA	Cyperaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12411–12411	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Brachypodium distachyon	3	2.3625767837454718e-4	MooreEtal2000	Brachypodium distachyon	Brachypodium	Poaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12089–12121	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Brassica/Sinapis arvensis	49	0.003858875413450937	MooreEtal2000;MooreEtal2000;MooreEtal2000	NA	NA	Brassicaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12192–12234	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Brassicaceae	762	0.06000945030713498	MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000	NA	NA	Brassicaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12560–12560	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Buglossoides arvensis/incrassata	3	2.3625767837454718e-4	MooreEtal2000	Buglossoides sp.	Buglossoides	Boraginaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12375–12584	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Buglossoides tenuiflora	64	0.005040163805323673	MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000	Buglossoides tenuiflora	Buglossoides	Boraginaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12193–12193	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Camelina/Camphorosma	3	2.3625767837454718e-4	MooreEtal2000	NA	NA	Brassicaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12201–12222	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Camphorosma monspeliaca	18	0.001417546070247283	MooreEtal2000;MooreEtal2000	Camphorosma monspeliaca	Camphorosma	Amaranthaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12207–12235	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Capparis	9	7.087730351236415e-4	MooreEtal2000;MooreEtal2000;MooreEtal2000	Capparis sp.	Capparis	Capparaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12225–12225	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Capsella bursa-pastoris	6	4.7251535674909436e-4	MooreEtal2000	Capsella bursa-pastoris	Capsella	Brassicaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12437–12437	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Caryophyllaceae	18	0.001417546070247283	MooreEtal2000	NA	NA	Caryophyllaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12382–12728	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Chenopodium	25	0.0019688139864545598	MooreEtal2000;MooreEtal2000;MooreEtal2000;MooreEtal2000	Chenopodium sp.	Chenopodium	Chenopodiaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12416–12755	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Chenopodium glaucum	6	4.7251535674909436e-4	MooreEtal2000;MooreEtal2000	Chenopodium glaucum	Chenopodium	Chenopodiaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12716–12727	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Chenopodium rubrum	14	0.0011025358324145535	MooreEtal2000;MooreEtal2000	Chenopodium rubrum	Chenopodium	Chenopodiaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12385–12385	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Citrullus colocynthis	8	6.300204756654591e-4	MooreEtal2000	Citrullus colocynthis	Citrullus	Cucurbitaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
ORIGINS	12595–12595	Abu Hureyra	Abu Hureyra	35.87	38.4	Abu Hureyra 1 (epipalaeolithic) phase 2	Dates approximated from Colledge & Conolly 2010	ABHU Epip2	12984	12055	Crithopis deliliana	2	1.5750511891636477e-4	MooreEtal2000	Crithopsis delileana	Crithopis	Poaceae	Wild	NA	NA	NA	12519.5	Epipalaeolithic
