id	site_name	site_code	phase_code	taxon	n	prop	weight	weight_prop	domestic_prop	domestic_weight_prop	domestic_status
23	'Ain Dara	ADA	ADA	Bos taurus	208	16.7	NA	NA	17.75	NA	D
23	'Ain Dara	ADA	ADA	Canis cf. familiaris	23	1.8	NA	NA	1.96	NA	NA
23	'Ain Dara	ADA	ADA	Capra hircus	89	7.1	NA	NA	7.59	NA	D
23	'Ain Dara	ADA	ADA	Carnivora indetermined small	12	1	NA	NA	NA	NA	D / W
23	'Ain Dara	ADA	ADA	cf. Camelus dromedarius (domestic camel)	1	0.1	NA	NA	0.09	NA	NA
23	'Ain Dara	ADA	ADA	Equus spec.	61	4.9	NA	NA	NA	NA	D / W
23	'Ain Dara	ADA	ADA	Ovis aries	109	8.8	NA	NA	9.3	NA	D
23	'Ain Dara	ADA	ADA	Ovis aries / Capra hircus	413	33.2	NA	NA	35.24	NA	D
23	'Ain Dara	ADA	ADA	Sus domesticus	329	26.4	NA	NA	28.07	NA	D
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Alectoris graeca	1	0.03	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Aquila heliaca	2	0.06	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Ardea cinera	3	0.1	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Bos taurus / Bos primigenius	104	3.3299999999999996	NA	NA	NA	NA	D / W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Buteo rufinus	3	0.1	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Canis aureus	1	0.03	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Canis familiaris	1	0.03	NA	NA	NA	NA	D
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Canis aureus / Canis familiaris	2	0.06	NA	NA	NA	NA	D / W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Capra hircus / Capra aegagrus	324	10.370000000000001	NA	NA	NA	NA	D / W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Capra hircus / Capra aegagrus / Ovis aries	2.057	65.86999999999999	NA	NA	NA	NA	D / W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Corvus corone	1	0.03	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Equus asinus / Equus hemionus	55	1.76	NA	NA	NA	NA	D / W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Erinaceus concolor	2	0.06	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Felis silvestris	6	0.19	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Gazella gazella / Gazella dorcas	214	6.85	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Indetermined	2.976	NA	NA	NA	NA	NA	D / W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Lepus capensis	7	0.22	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Mellivora capensis	1	0.03	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Milvus migrans	1	0.03	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Ovis aries	26	0.8300000000000001	NA	NA	NA	NA	D
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Potamon spec.	2	0.06	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Sus scrofa	286	9.16	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Testudo graeca	4	0.13	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_lM-eL	Vulpes vulpes	20	0.64	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Aquila heliaca	1	0.02	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Bos taurus / Bos primigenius	163	3.7600000000000002	NA	NA	NA	NA	D / W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Buteo rufinus	1	0.02	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Canis familiaris	10	0.23	NA	NA	NA	NA	D
24	'Ain Ghazal	AGHAZ	AG_L-lL	Canis lupus	2	0.05	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Canis aureus / Canis familiaris	1	0.02	NA	NA	NA	NA	D / W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Capra hircus / Capra aegagrus	323	7.46	NA	NA	NA	NA	D / W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Capra hircus / Capra aegagrus / Ovis aries	2.812	64.91000000000001	NA	NA	NA	NA	D / W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Equus asinus / Equus hemionus	119	2.75	NA	NA	NA	NA	D / W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Erinaceus concolor	1	0.02	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Felis silvestris	5	0.12000000000000001	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Gazella gazella / Gazella dorcas	410	9.46	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Indetermined	2.292	NA	NA	NA	NA	NA	D / W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Lepus capensis	12	0.28	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Meles meles	3	0.07	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Mellivora capensis	1	0.02	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Milvus migrans	2	0.05	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Otis tarda	2	0.05	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Ovis aries	102	2.3499999999999996	NA	NA	NA	NA	D
24	'Ain Ghazal	AGHAZ	AG_L-lL	Panthera pardus	1	0.02	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Potamon spec.	1	0.02	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Sus scrofa	313	7.23	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Testudo graeca	1	0.02	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-lL	Vulpes vulpes	46	1.06	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-C	Bos taurus / Bos primigenius	122	4.38	NA	NA	NA	NA	D / W
24	'Ain Ghazal	AGHAZ	AG_L-C	Canis familiaris	5	0.18	NA	NA	NA	NA	D
24	'Ain Ghazal	AGHAZ	AG_L-C	Capra hircus / Capra aegagrus	182	6.53	NA	NA	NA	NA	D / W
24	'Ain Ghazal	AGHAZ	AG_L-C	Cervus elaphus	2	0.07	NA	NA	NA	NA	W
24	'Ain Ghazal	AGHAZ	AG_L-C	Capra hircus / Capra aegagrus / Ovis aries	1.966	70.54	NA	NA	NA	NA	D / W
