id	site_name	site_code	phase_code	taxon	plant_part	identification_level	n	prop
18	'Afula	AF	AF_EB	indeterminata	seed	4	4	80
18	'Afula	AF	AF_EB	Triticum species free threshing wheat tetraploid grains	grain	1	1	20
18	'Afula	AF	AF_IA	Cephalaria syriaca (L.) Schrader	capsule	1	0	0
18	'Afula	AF	AF_IA	Cicer arietinum L.	seed	1	0	0
18	'Afula	AF	AF_IA	Galium tricornutum Dandy	seed	1	0	0
18	'Afula	AF	AF_IA	Olea europaea L.	seed	1	0	0
18	'Afula	AF	AF_IA	Vicia ervilia (L.) Willd.	seed	1	0	0
18	'Afula	AF	AF_IA	Vicia faba L.	seed	1	0	0
18	'Afula	AF	AF_MB	Avena sp.	seed	3	1	3
18	'Afula	AF	AF_MB	Cicer pinnatifidum	seed	1	2	6
18	'Afula	AF	AF_MB	Poaceae indet.	seed	4	3	8
18	'Afula	AF	AF_MB	Hordeum sp. rachis internodes	chaff	3	1	3
18	'Afula	AF	AF_MB	Hordeum distichum/vulgare grain (hulled)	grain	1	4	11
18	'Afula	AF	AF_MB	Hordeum sp. (wild)	grain	1	2	6
18	'Afula	AF	AF_MB	indeterminata	seed	4	3	8
18	'Afula	AF	AF_MB	Papilionaceae indet.	seed	4	2	6
18	'Afula	AF	AF_MB	Phalaris sp.	seed	3	1	3
18	'Afula	AF	AF_MB	Triticum dicoccum grains	grain	1	1	3
18	'Afula	AF	AF_MB	Triticum dicoccum spikelet forks	chaff	1	10	28
18	'Afula	AF	AF_MB	Triticum species free threshing wheat tetraploid grains	grain	1	1	3
18	'Afula	AF	AF_MB	Vicia ervilia (L.) Willd.	seed	1	5	14
23	'Ain Dara	ADA	ADA	Arnebia Forssk. sp.	seed	3	15	1
23	'Ain Dara	ADA	ADA	Asphodelus sp.	seed	3	4	0
23	'Ain Dara	ADA	ADA	Astragalus sp.	seed	3	6	0
23	'Ain Dara	ADA	ADA	Caryophyllaceae indet.	seed	4	7	0
23	'Ain Dara	ADA	ADA	Cereal indeterminate grains	seed	4	118	6
23	'Ain Dara	ADA	ADA	Cereal indeterminate rachis	chaff	4	8	0
23	'Ain Dara	ADA	ADA	Chenopodiaceae indet.	seed	4	19	1
23	'Ain Dara	ADA	ADA	Asteraceae indet.	seed	4	15	1
23	'Ain Dara	ADA	ADA	Coronilla sp.	seed	3	23	1
23	'Ain Dara	ADA	ADA	Cyperaceae indet.	seed	4	9	0
23	'Ain Dara	ADA	ADA	Ficus sp.	seed	3	27	1
23	'Ain Dara	ADA	ADA	Fimbristylis sp.	seed	3	28	1
23	'Ain Dara	ADA	ADA	Galium sp.	seed	3	26	1
23	'Ain Dara	ADA	ADA	Hordeum vulgare vulgare grain (hulled)	seed	1	242	12
23	'Ain Dara	ADA	ADA	indeterminata	seed	4	87	4
23	'Ain Dara	ADA	ADA	Fabaceae indet.	seed	4	30	2
23	'Ain Dara	ADA	ADA	Lens culinaris Medik.	seed	1	51	3
23	'Ain Dara	ADA	ADA	Lithospermum L. sp.	seed	3	80	4
23	'Ain Dara	ADA	ADA	Lolium sp.	seed	3	186	9
23	'Ain Dara	ADA	ADA	Malva sp.	seed	3	95	5
23	'Ain Dara	ADA	ADA	Medicago sp.	seed	3	347	18
23	'Ain Dara	ADA	ADA	Papaveraceae indeterminate	seed	4	26	1
23	'Ain Dara	ADA	ADA	Phalaris sp.	seed	3	39	2
23	'Ain Dara	ADA	ADA	Pisum/Vicia sp.	seed	3	37	2
23	'Ain Dara	ADA	ADA	Plantago sp.	seed	3	7	0
23	'Ain Dara	ADA	ADA	Polygonaceae indet.	seed	4	8	0
23	'Ain Dara	ADA	ADA	Prosopis sp.	seed	3	6	0
23	'Ain Dara	ADA	ADA	Punica granatum L.	seed	1	2	0
23	'Ain Dara	ADA	ADA	Rumex sp.	seed	3	9	0
23	'Ain Dara	ADA	ADA	Scorpiurus sp.	seed	3	5	0
23	'Ain Dara	ADA	ADA	Silene sp.	seed	3	18	1
23	'Ain Dara	ADA	ADA	Teucrium sp.	seed	3	4	0
23	'Ain Dara	ADA	ADA	Trifolium sp.	seed	3	65	3
23	'Ain Dara	ADA	ADA	Trigonella sp.	seed	3	4	0
23	'Ain Dara	ADA	ADA	Triticum species indeterminate free threshing wheat grains	seed	2	146	7
23	'Ain Dara	ADA	ADA	Vitis vinifera L. pips	pip	1	161	8
24	'Ain Ghazal	AGHAZ	AG	Amygdalus sp.	shell	3	0	0
24	'Ain Ghazal	AGHAZ	AG	Astragalus sp.	seed	3	0	0
24	'Ain Ghazal	AGHAZ	AG	Cicer arietinum L.	seed	2	0	0
24	'Ain Ghazal	AGHAZ	AG	Ficus carica L.	seed	2	0	0
24	'Ain Ghazal	AGHAZ	AG	Galium sp.	seed	3	0	0
24	'Ain Ghazal	AGHAZ	AG	Hordeum distichum grain (hulled)	seed	2	0	0
24	'Ain Ghazal	AGHAZ	AG	Hordeum spontaneum/sativum rachis internodes	chaff	2	0	0
24	'Ain Ghazal	AGHAZ	AG	Lens sp.	seed	3	0	0
24	'Ain Ghazal	AGHAZ	AG	Linum sp.	seed	3	0	0
24	'Ain Ghazal	AGHAZ	AG	Medicago sp.	seed	3	0	0
24	'Ain Ghazal	AGHAZ	AG	Pistacia atlantica Desf.	shell	1	0	0
24	'Ain Ghazal	AGHAZ	AG	Pisum sativum L.	seed	2	0	0
24	'Ain Ghazal	AGHAZ	AG	Silene sp.	seed	3	0	0
24	'Ain Ghazal	AGHAZ	AG	Triticum dicoccum grains	seed	1	0	0
24	'Ain Ghazal	AGHAZ	AG	Triticum dicoccum spikelet forks	chaff	2	0	0
24	'Ain Ghazal	AGHAZ	AG	Vicia faba L.	seed	1	0	0
24	'Ain Ghazal	AGHAZ	AG	Vicia sp.	seed	3	0	0
5	Abi'or cave	AC	AC	Avena sterilis L.	chaff	1	1	0
5	Abi'or cave	AC	AC	Balanites aegyptiaca Delile	seed	1	10	1
5	Abi'or cave	AC	AC	Carthamus nitidus	seed	1	1	0
