id	site_name	site_code	reference
18	'Afula	AF	"Melamed, Y. (1996). ""Dry and charred grains from 'Afula - a taphonomic approach."" Atiqot XXX: 69 - 70."
18	'Afula	AF	"Zaitschek, D. V. (1955). ""Remains of cultivated plants from Afula."" 'Atiqot 1: 71-74."
23	'Ain Dara	ADA	Crawford, P. (1999). Botanical remains. The Iron Age settlement at 'Ain Dara, Syria. Survey and soundings. E. C. Stone and P. E. Zimansky, BAR International Series. 786: 113 - 121.
23	'Ain Dara	ADA	"Frey, C. J.; Marean, C. W. (1999). Mammal Remains. In: Stone, E. C; Zimansky, P. E. The Iron Age settlement at 'Ain Dara, Syria - Survey and Soundings. BAR International Series 786: 123-138. "
5	Abi'or cave	AC	"Kislev, M. E. (1992). ""Vegetal food of the Bar Kokhba rebels at the Abi'or cave near Jericho."" Review of Palaeobotany and Palynology 73: 153-160."
7	Abu Hamid	AHA	Neef, R. (1988). Les activités agricoles et horticoles. Abu Hamid. Village du 4e millenaire de la vallee du Jordain. C. C. F. e. D. d. A. d. Jordaine. Amman, Centre Cultural Francais et Departement des Antiquites de Jordaine: 29-30.
11	Abu Salabikh	AS	Charles, M. (1993). Botanical remains. Abu Salabikh excavations. Volume 4. The 6G ash-tip and its contents: cultic and administrative discard from the temple? A. Green, British School of Archaeology in Iraq: 203-207.
1035	Acemhöyük	ACEM	Arbuckle, B. (2012). Pastoralism, Provisioning and Power at Bronce Age Acemhöyük, Turkey. American Anthropologist, Vol. 144, No 3: pp. 462-476.
1035	Acemhöyük	ACEM	Arbuckle, B. S. (2013). Zooarchaeology at Acemhöyük 2013. Anatolia 39: 55-68.
21	Agios Mamas	AM	Kroll, H. and R. Neef (1997). Bohnen von Agios Mamas. Beiträge zur prähistorischen Archäologie zwischen Nord- und Südosteuropa. Festschrift für Bernhard Hänsel. C. Becker, M.-L. Dunkelmann, C. Metzner-Nebelsicket al. Espelkamp, Marie Leidorf: 543 - 547.
1046	Ain Mallaha (Eynan)	AINM	"Bridault, A.; Rabinovich, R.; Simmons, T. (2008). Human activities, site location and taphonomic process: a relevant combination for understanding the fauna of Eynan (Ain Mallaha), level Ib (final Natufian, Israel). Vila, E.; Gourichon, L.; Choyke, A. M. ; Buitenhuis, H. Eighth international Symposium on the Archaeozoology of southwestern Asia and adjacent areas, Dec 2005, Lyon, France. Maison de l’Orient et de la Méditerranée, TRAVAUX DE LA MAISON DE L’ORIENT ET DE LA MEDITERRANÉE n49, pp. 99-117"
35	Akrotiri	AK	Sarpaki, A. A. (1987). The palaeoethnobotany of the West House, Akrotiri, Thera: a case study, University of Sheffield.
35	Akrotiri	AK	"Sarpaki, A. (1992). ""A palaeoethnobotanical study of the West House, Akrotiri, Thera."" The Annual of the British School of Archaeology at Athens 87: 219-230."
1020	Al-Madam 1 - Thuqeibah	THUQ	"del Cerro C. (2013). Biological remains at al-Madam (Sharjah, UAE) - Archaeological, archaeobotanical and archaeozoological studies in an Iron Age farming-stockbreeding village. Bioarchaeoligy of the Near East 7: pp. 21-32"
61	Apliki	AP	"Helbaek, H. (1962). ""Late Cypriote vegetable diet at Apliki."" Opuscula Athenaes 4: 171 - 186."
65	Arad	A	Hopf, M. (1978). Plant remains, Strata V-I. Early Arad: The Chalcolithic settlement and Early Bronze city. R. Amiran. Jerusalem. 1: 64 - 82.
69	Argissa-Magoula	ARG	Kroll, H. (1983). Kastanas. Die Pflanzenfunde. Berlin, Volker Spiess.
69	Argissa-Magoula	ARG	"Milojčić, V., Boessneck, J. und Hopf, M. (1962). Die deutschen Ausgrabungen auf der Argissa-Magula in Thessalien I - Das präkeramische Neolithikum sowie die Tier- und Pflanzenreste. Rudolf Habelt, Bonn. "
70	Arjoune	ARJ	"Grigson, C. (2003). Animal husbandry in the Late Neolithic and Chalcolithic at Arjoune: the secondary products revolution revisited. In: Parr, C. J. (ed.) Excavations at Arjoune, Syria. BAR International Series 1134. Oxford, Archaeopress: 187-240."
1005	Arkadikos	ARKA	"Valamoti, S. (2004). ""Plants and people in Late Neolithic and Early Bronze Age Northern Greece. An archaeobotanical investigation"", Archaeopress, Oxford."
73	Arslantepe	ARST	"Follieri, M. and G. B. L. Coccolini (1983). ""Palaeoethnobotanical study of the VI A and VI B periods of Arslantepe (Malatya, Turkey). Preliminary report."" Origini 12(2): 599-617."
