id	site_name	site_code	location	geographic_unit	latitude	longitude	date_earliest	date_latest	recovery_methods	preservation_type	n_samples
18	'Afula	AF	Israel	Southern Levant	32.61	35.29	3200 BC	500 BC	NA	carbonized	NA
23	'Ain Dara	ADA	Syria	Northern Levant	36.852083	36.459361	1000 BC	500 BC	flotation	carbonized, mineralized	NA
24	'Ain Ghazal	AGHAZ	Jordan	Jordan Valley	31.988889	35.977778	8700 BC	4000 BC	flotation - but no mention of what method or what mesh size used	charring	NA
5	Abi'or cave	AC	Israel	Southern Levant	31.84	35.44	60 BC	400 AD	dry sieving	carbonized, uncarbonized	NA
7	Abu Hamid	AHA	Jordan	Southern Levant	32.32	35.55	4800 BC	3800 BC	NA	NA	NA
11	Abu Salabikh	AS	Iraq	Central Mesopotamia	32.252253	45.053296	3000 BC	2340 BC	wet sieving, flotation	NA	NA
1035	Acemhöyük	ACEM	Turkey	Western and Central Anatolia	38.411589	33.835483	3400 BC	1923 AD	NA	NA	NA
12	Achilleion	ACHIL	Greece	Thessaly	39.17	22.23	6400 BC	NA	bucket flotation	charring	NA
21	Agios Mamas	AM	Greece	Aegean	40.27	23.32	2000 BC	NA	NA	carbonized	NA
1046	Ain Mallaha (Eynan)	AINM	Israel	Southern Levant	33.086975	35.579159	12500 BC	10000 BC	F: water sieved with 2mm mesh	NA	NA
35	Akrotiri	AK	Greece	Aegean	36.35	25.39	1500 BC	1200 BC	NA	NA	NA
1020	Al-Madam 1 - Thuqeibah	THUQ	NA	Sharjah	NA	NA	918 BC	535 BC	NA	NA	NA
44	Ali Kosh	KOSH	Iran	Deh Luran	32.557791	47.32475	8700 BC	6500 BC	bucket flotation (reference only to the use of a fine mesh sieve)	charring	NA
59	Anza	ANZ	Greece	Macedonia	41.78	21.96	6400 BC	5200 BC	flotation - but no mention of what method	charring	NA
61	Apliki	AP	Cyprus	Cyprus	35.07	32.84	1500 BC	1200 BC	NA	carbonized	NA
65	Arad	A	Israel	Southern Levant	31.25	35.22	3200 BC	400 AD	NA	carbonized	NA
66	Arapi Magoula	ARM	Greece	Aegean	39.6	22.38	NA	5200 BC	flotation - but no mention of what method	carbonized	NA
69	Argissa-Magoula	ARG	Greece	Aegean	39.65	22.33	8700 BC	1500 BC	judgemental sampling, wet sieving	carbonized, uncarbonized	NA
70	Arjoune	ARJ	Syria	Northern Levant	34.58	36.5	6400 BC	4200 BC	flotation	carbonized	NA
1005	Arkadikos	ARKA	Greece	NA	NA	NA	NA	5200 BC	Flotation	NA	NA
73	Arslantepe	ARST	Turkey	Eastern Anatolia	38.381894	38.36103	3200 BC	2600 BC	dry sieving	carbonized	NA
1028	Ashdod	ASHD	Israel	Southern Levant	31.783333	34.65	1300 BC	1100 BC	NA	carbonized	NA
1016	Ashkelon	ASH	Israel	Southern Levant	31.666667	34.566667	6400 BC	500 BC	judgmental sampling + 1x1m grid sampling, floatation	carbonized, Boraginaceae mineralized	NA
76	Asikli Hoyuk	ASIK	Turkey	Central Anatolia	38.349	34.23	8400 BC	7500 BC	bucket flotation (no mesh size given)	charring	NA
77	Assiros Toumba	AT	Greece	Aegean	40.82	23.02	1600 BC	900 BC	froth and hand flotation	carbonized	NA
78	Asvan Kale (Asvan)	ASK	Turkey	Eastern Anatolia	38.9	38.95	2800 BC	1900 AD	flotation	charred	NA
79	Asvan region	ASVR	Turkey	Eastern Anatolia	38.89	38.95	5200 BC	1000 AD	wet sieving	carbonized	NA
89	Ayios Dhemetrios	AD	Cyprus	Cyprus	34.92	32.82	1500 BC	1200 BC	froth flotation, water sieving	carbonized	NA
90	Ayios Epiktitos Vrysi	AEV	Cyprus	northern	35.33	33.42	5400 BC	NA	froth flotation (machine; smallest mesh size used was 0.5mm)	charring	NA
95	Azraq 31	AZ	Jordan	Eastern (Azraq Basin)	31.8	36.82	7500 BC	7000 BC	machine flotation (0.3mm mesh used)	charring	NA
97	Bab'edh Dhra	BDRA	Jordan	Southern Levant	31.253225	35.533194	3200 BC	2000 BC	judgemental sampling, flotation	carbonized	NA
991	Bademagaci	BADE	Turkey	Western and Central Anatolia	37.223056	30.498056	6400 BC	2000 BC	Fauna: hand collecting, sieving (only the EN I levels)	NA	NA
1043	Barcin Höyük	BARC	Turkey	Western and Central Anatolia	40.267214	29.601578	NA	5200 BC	NA	NA	NA
115	Basta	BAST	Jordan	southern	30.57144	31.514112	7500 BC	7000 BC	flotation - but no mention of what method (mesh size not given)	charring	NA
116	Bastam	B	Iran	Western Iran	38.88619	44.950281	840 BC	1500 AD	wet sieving	carbonized, uncarbonized	NA
1052	Başur Höyük	BASU	Turkey	Tigridian Region	37.98	41.779	1800 BC	1600 BC	NA	NA	NA
120	Beer-Sheba	BESH	Israel	Southern Levant	31.23	34.78	1200 BC	800 BC	NA	carbonized	NA
121	Beidha	BEID	Jordan	southern	30.370833	35.447778	11000 BC	7500 BC	bucket flotation (0.3mm mesh used)	charring and impressions in clay/plaster	NA
1057	Beisamoun	BEIS	Israel	Southern Levant	33.05	35.583333	5400 BC	NA	NA	NA	NA
123	Bendebal	BEN	Iran	Western Iran	32.33	48.27	5200 BC	3000 BC	NA	carbonized	NA
128	Beth Shean	BS	Israel	Southern Levant	32.5	35.43	3200 BC	1200 AD	collecting, sieving	carbonized	NA
1014	Bethsaida	BETH	Israel	Southern Levant	32.90995	35.630536	980 BC	840 BC	hand-picked	carbonized	NA
129	Beycesultan	BEYS	Turkey	Western Anatolia	38.256676	29.700789	1500 BC	1100 AD	NA	NA	NA
144	Bnei Beraq	BB	Israel	Southern Levant	32.1	34.82	5200 BC	3000 BC	NA	NA	NA
147	Bogazköy	BK	Turkey	Central Anatolia	40.015199	34.615003	3400 BC	1100 BC	hand picking, flotation	carbonized	NA
150	Bosra	BOS	Syria	Southern Levant	32.5175	36.479167	800 AD	1750 AD	hand-picked, flotation	carbonized	NA
153	Bouqras	BOUQ	Syria	Euphrates Valley	35.0666	40.4333	7500 BC	5400 BC	bucket flotation (no mesh size given)	charring	NA
1041	Büyüktepe Höyük	BÜYÜ	Turkey	Eastern Anatolia	40.2	39.9	3200 BC	500 BC	NA	NA	NA
163	Çadir Höyük	CADH	Turkey	Central Anatolia	39.67	35.15	5200 BC	1100 AD	flotation	carbonized	NA
164	Cafer Hoyuk	CAF	Turkey	Southeast Anatolia	38.41666	38.75	8700 BC	6500 BC	bucket flotation (300micron mesh)	charring	NA
1044	Çamlıbel Tarlası	CAML	Turkey	Western and Central Anatolia	40.019604	34.607501	4800 BC	3800 BC	NA	NA	NA
165	Can Hasan III	HASAN	Turkey	Southeast Anatolia	37.263	33.3313	8700 BC	6000 BC	machine flotation (possibly 1.0mm mesh)	charring	NA
168	Cape Andreas Kastros	CAK	Cyprus	northeast	35.7	34.58	6400 BC	4200 BC	flotation - but no mention of what method or the mesh size	charring	NA
1030	Çatalhöyük	CAT	Turkey	NA	37.6675	32.828333	8700 BC	4200 BC	flotation (light- and heavy-residue recovery)	charred, mineralized, siliceous/calcerous	NA
1026	Çavi Tarlası	CAVI	Turkey	Eastern Anatolia	37.749114	38.970459	5500 BC	4500 BC	NA	NA	NA
171	Cayboyu (Asvan)	CB	Turkey	Eastern Anatolia	38.9166	38.95	4800 BC	3800 BC	flotation	charred	NA
172	Cayonu	CAY	Turkey	Southeast Anatolia	38.218723	39.728824	9800 BC	1100 BC	bucket flotation (no mesh size given)	charring	NA
180	Choga Mami	CM	Iraq	Central Mesopotamia	33.73	45.52	5200 BC	2000 BC	flotation	carbonized	NA
183	City of David	CD	Israel	Southern Levant	31.78	35.2	3000 BC	100 BC	collection	carbonized	NA
188	Corinth	C	Greece	Aegean	37.93	22.93	700 BC	323 BC	water- and dry-sieving	NA	NA
1015	Deir el-Balah	DB	Israel	Southern Levant	31.416667	34.35	1300 BC	1100 BC	hand-picked	carbonized	NA
200	Deir'Alla	DA	Jordan	Southern Levant	32.196364	35.620788	1500 BC	500 BC	sieving	carbonized	NA
202	Demircihüyük	DH	Turkey	Western Anatolia	39.85	30.27	3200 BC	2000 BC	wet sieving	carbonized, uncarbonized	NA
203	Dendra	DEN	Greece	Aegean	37.6	22.73	1050 BC	1000 BC	NA	NA	NA
211	Dhali Agridhi	DAGR	Cyprus	Cyprus	35.02	33.42	6400 BC	4200 BC	NA	NA	NA
1058	Dhiban	DHI	Jordan	Southern Levant	NA	NA	1000 BC	500 BC	flotation	carbonized	NA
212	Dhuweila	DHU	Jordan	Southern Levant	32.08	37.25	7500 BC	5200 BC	bucket flotation	charring	NA
213	Diban 11	DIBX	Syria	Middle Euphrates	35.02	40.5	500 AD	1500 AD	floation	carbonized	NA
214	Diban 5	DIBV	Syria	Middle Euphrates	35	40.52	500 AD	1500 AD	flotation	carbonized	NA
216	Dikili Tash	DT	Greece	Aegean	41	24.27	NA	5200 BC	machine flotation?	carbonized	NA
218	Dilkaya Höyük	DIL	Turkey	Eastern Anatolia	38.36	43.14	3200 BC	2000 BC	flotation	carbonized	NA
219	Dimini	DIM	Greece	Aegean	39.37	22.88	6400 BC	4200 BC	NA	NA	NA
995	Dinkha Tepe	DITE	Iran	Jezirah	37.007863	45.165759	3400 BC	500 BC	NA	NA	NA
223	Djade	DJA	Syria	Euphrates Valley	36.61666	38.21666	9800 BC	6500 BC	machine flotation (0.3mm mesh used)	charring	NA
1019	Domuztepe	DOMU	Turkey	Eastern Anatolia	37.320944	37.035693	5700 BC	5500 BC	fauna: mainly hand collecting, some remains found by flotation	NA	NA
231	Drachmani	DRA	Greece	Aegean	38.63	22.75	1800 BC	1600 BC	NA	NA	NA
235	Ebla	EBL	Syria	NA	35.798	36.798	2350 BC	2000 BC	NA	NA	NA
246	El Kowm I	KOW1	Syria	central	35.22	38.82	7500 BC	7000 BC	bucket flotation (mesh size not given)	charring	NA
247	El Kowm II	KOW2	Syria	central	35.22	38.82	7500 BC	6500 BC	bucket flotation (300micron mesh)	charring	NA
255	El-Lejjun	ELEJ	Jordan	Southern Levant	31.236944	35.868333	3200 BC	1750 AD	"water flotation
fauna: sieved using a 3mm mesh screen"	carbonized	NA
258	Emar	EM	Syria	Middle Euphrates	35.986637	38.111194	3200 BC	1200 BC	NA	NA	NA
260	En Besor	EBES	Israel	Southern Levant	31.32	34.47	3200 BC	2000 BC	NA	NA	NA
261	En Boqeq	EB	Israel	Southern Levant	31.17	35.33	400 AD	NA	NA	NA	NA
263	En Rahel	ER	Israel	Southern Levant	31.3	34.72	1000 BC	400 AD	NA	NA	NA
264	Erbaba	ERB	Turkey	Central Anatolia	37.77	31.68	5400 BC	NA	flotation - but no mention of what method	charring	NA
269	Eridu	E	Iraq	Southern Mesopoatmia	30.817228	45.995684	5200 BC	3000 BC	NA	carbonized	NA
278	Ez Zantur	EZ	Jordan	Southern Levant	30.35	35.47	400 AD	NA	dry-sieving	carbonized	NA
1055	Fikirtepe	FITE	Turkey	Western and Central Anatolia	40.993611	29.050278	6400 BC	4200 BC	NA	NA	NA
286	Franchthi Cave	FC	Greece	Aegean	37.43	23.13	8000 BC	5200 BC	flotation (large scale - using gravity to supply w	carbonized	NA
287	Ganj Dareh Tepe	GDT	Iran	Zagros	34.25	47.5	8700 BC	6500 BC	flotation - but no mention of what method (no mesh size given), also some hand picked samples	charring	NA
303	Ghediki	GHED	Greece	Thessaly	NA	NA	8000 BC	NA	no details are given of the recovery methods used (no mesh size given)	charring	NA
1049	Giricano	GIRI	Turkey	Tigridian Region	37.815853	40.749149	1800 BC	1200 BC	NA	NA	NA
307	Girikihaciyan	GH	Turkey	Eastern Anatolia	38.2333	39.9666	5100 BC	NA	flotation	carbonized	NA
309	Gla	GLA	Greece	Aegean	38.43	23.15	1500 BC	1200 BC	NA	carbonized	NA
310	Göbekli Tepe	GOB	Turkey	southern	37.223221	38.922468	9800 BC	8800 BC	NA	NA	NA
962	Gordion (Yassihöyük)	YAS	Turkey	Western and Central Anatolia	39.650103	31.97857	1800 BC	1500 AD	NA	NA	NA
316	Gournia	GOU	Crete	Aegean	35.12	25.78	3400 BC	1100 BC	NA	NA	NA
317	Gre Virike	GV	Turkey	Middle Euphrates	36.922586	38.015328	3000 BC	1500 AD	flotation	carbonized	NA
318	Gritille	GRI	Turkey	Middle Euphrates	37.55	38.5666	8700 BC	1750 AD	flotation	carbonized	NA
323	Hacilar	HCI	Turkey	Western Anatolia	37.57	30.07	8400 BC	7500 BC	not clear from the report - one sample was separated using carbon tetrachloride (no mesh size given)	charring	NA
324	Hacinebi Tepe	HACT	Turkey	Northern Levant	37.0596	37.975217	4800 BC	3800 BC	flotation	carbonized	NA
328	Hagia Triada	HAT	Crete	Aegean	34.98	24.8	3400 BC	1100 BC	NA	NA	NA
330	Hajji Ibrahim	HI	Syria	Middle Euphrates	36.34	38.21	3200 BC	2000 BC	flotation	carbonized	NA
