flora,fauna,site_id,site_code,site_name,country,date_earliest,date_latest,latitude,longitude
TRUE,FALSE,18,AF,'Afula,Israel,3200 BC,500 BC,32.61,35.29
TRUE,TRUE,23,ADA,'Ain Dara,Syria,1000 BC,500 BC,36.85,36.46
TRUE,TRUE,24,AGHAZ,'Ain Ghazal,Jordan,8700 BC,4000 BC,31.99,35.98
TRUE,FALSE,5,AC,Abi'or cave,Israel,60 BC,400 AD,31.84,35.44
TRUE,FALSE,7,AHA,Abu Hamid,Jordan,4800 BC,3800 BC,32.32,35.55
TRUE,FALSE,11,AS,Abu Salabikh,Iraq,3000 BC,2340 BC,32.25,45.05
FALSE,TRUE,1035,ACEM,Acemhöyük,Turkey,3400 BC,1923 AD,38.41,33.84
TRUE,FALSE,12,ACHIL,Achilleion,Greece,6400 BC,1923 AD,39.17,22.23
TRUE,FALSE,21,AM,Agios Mamas,Greece,2000 BC,1923 AD,40.27,23.32
FALSE,TRUE,1046,AINM,Ain Mallaha (Eynan),Israel,12500 BC,10000 BC,33.09,35.58
TRUE,FALSE,35,AK,Akrotiri,Greece,1500 BC,1200 BC,36.35,25.39
FALSE,TRUE,1020,THUQ,Al-Madam 1 - Thuqeibah,0,918 BC,535 BC,,
TRUE,FALSE,44,KOSH,Ali Kosh,Iran,8700 BC,6500 BC,32.56,47.32
TRUE,FALSE,59,ANZ,Anza,Greece,6400 BC,5200 BC,41.78,21.96
TRUE,FALSE,61,AP,Apliki,Cyprus,1500 BC,1200 BC,35.07,32.84
TRUE,FALSE,65,A,Arad,Israel,3200 BC,400 AD,,
TRUE,FALSE,66,ARM,Arapi Magoula,Greece,3200 BC,5200 BC,,
TRUE,TRUE,69,ARG,Argissa-Magoula,Greece,8700 BC,1500 BC,,
TRUE,TRUE,70,ARJ,Arjoune,Syria,6400 BC,4200 BC,,
TRUE,FALSE,1005,ARKA,Arkadikos,Greece,6400 BC,5200 BC,,
TRUE,TRUE,73,ARST,Arslantepe,Turkey,3200 BC,2600 BC,,
TRUE,FALSE,1028,ASHD,Ashdod,Israel,1300 BC,1100 BC,,
TRUE,TRUE,1016,ASH,Ashkelon,Israel,6400 BC,500 BC,,
TRUE,TRUE,76,ASIK,Asikli Hoyuk,Turkey,8400 BC,7500 BC,,
TRUE,FALSE,77,AT,Assiros Toumba,Greece,1600 BC,900 BC,,
TRUE,FALSE,78,ASK,Asvan Kale (Asvan),Turkey,2800 BC,1900 AD,,
TRUE,FALSE,79,ASVR,Asvan region,Turkey,5200 BC,1000 AD,,
TRUE,FALSE,89,AD,Ayios Dhemetrios,Cyprus,1500 BC,1200 BC,,
TRUE,FALSE,90,AEV,Ayios Epiktitos Vrysi,Cyprus,5400 BC,1200 BC,,
TRUE,FALSE,95,AZ,Azraq 31,Jordan,7500 BC,7000 BC,,
TRUE,FALSE,97,BDRA,Bab'edh Dhra,Jordan,3200 BC,2000 BC,,
FALSE,TRUE,991,BADE,Bademagaci,Turkey,6400 BC,2000 BC,,
FALSE,TRUE,1043,BARC,Barcin Höyük,Turkey,6400 BC,5200 BC,,
TRUE,FALSE,115,BAST,Basta,Jordan,7500 BC,7000 BC,,
TRUE,TRUE,116,B,Bastam,Iran,840 BC,1500 AD,,
FALSE,TRUE,1052,BASU,Başur Höyük,Turkey,1800 BC,1600 BC,,
TRUE,TRUE,120,BESH,Beer-Sheba,Israel,1200 BC,800 BC,,
TRUE,TRUE,121,BEID,Beidha,Jordan,11000 BC,7500 BC,,
FALSE,TRUE,1057,BEIS,Beisamoun,Israel,5400 BC,7500 BC,,
TRUE,FALSE,123,BEN,Bendebal,Iran,5200 BC,3000 BC,,
TRUE,TRUE,128,BS,Beth Shean,Israel,3200 BC,1200 AD,,
TRUE,FALSE,1014,BETH,Bethsaida,Israel,980 BC,840 BC,,
TRUE,FALSE,129,BEYS,Beycesultan,Turkey,1500 BC,1100 AD,,
TRUE,FALSE,144,BB,Bnei Beraq,Israel,5200 BC,3000 BC,,
TRUE,TRUE,147,BK,Bogazköy,Turkey,3400 BC,1100 BC,,
TRUE,FALSE,150,BOS,Bosra,Syria,800 AD,1750 AD,,
TRUE,TRUE,153,BOUQ,Bouqras,Syria,7500 BC,5400 BC,,
