"SITE","PHASE","CULTURE_1","CULTURE_2"
"Abingdon","Ab","Neolithic","early"
"Ageröd V","AdV","Mesolithic",
"Ayios Epiktitos Vrysi","AEV","pottery Neolithic",
"Ain Ghazal","AG","PPNB","middle/late"
"Tell Abu Hureyra","AH1","late Epipalaeolithic",
"Tell Abu Hureyra","AH2A","PPNB","middle/late"
"Tell Abu Hureyra","AH2B","PPNB","late/final"
"Tell Abu Hureyra","AH2C","pottery Neolithic",
"Ali Kosh","AK-AK","PPNB","middle/late"
"Ali Kosh","AK-BM","PPNB","middle"
"Ali Kosh","AK-MJ","late PPNB/pottery Neolithic",
"Achnasavil","Al","Neolithic","early"
"Argissa Magoula","AMI","Neolithic","initial/aceramic"
"Argissa Magoula","AMII","Neolithic","early"
"Achilleion","AnI","Neolithic","early"
"Achilleion","AnII","Neolithic","middle"
"Arapi Magoula","ApM","Neolithic","late/final"
"Aşıklı Höyük","AsH","PPNB","middle"
"Tell Aswad","AsIa","PPNA",
"Tell Aswad","AsIb","PPNB","early"
"Tell Aswad","AsII","PPNB","middle"
"Azraq 31","Az31","PPNB","late"
"Anza","AzaI-III","Neolithic","early"
"Anza","AzaIV","Neolithic","late"
"Tell Azmak","AzkI","Neolithic","early"
"Tell Azmak","AzkII","Neolithic","middle"
"Basta","BA","PPNB","late"
"Berry-au-Bac","BB","Neolithic","early"
"Bietigheim-Bissingen","BBg","Neolithic","early"
"Bietigheim-Bissingen","BBgs","Neolithic","early"
"Bruchenbrücken","BbkI","Neolithic","early"
"Bruchenbrücken","BbkII","Neolithic","early"
"Bercy","Bc","Neolithic","middle"
"Boghead","Bd","Neolithic","early"
"Buraco da Pala","BdP","Neolithic","early"
"Beidha","BE","PPNB","middle"
"Bromfield","Bf","Neolithic","early"
"Briar Hill","BH","Neolithic","early"
"Beek","Bk","Neolithic","early"
"Březno u Louny","BL","Neolithic","early"
"Blatné","BlaI","Neolithic","early"
"Blatné","BlaII","Neolithic","middle"
"Bíňa","BnI","Neolithic","early"
"Bíňa","BnII","Neolithic","middle"
"Battonya-Parázstanyai","BP","Neolithic","late"
"Bouqras","BQ","late PPNB/pottery Neolithic",
"Belotic","Bt","Neolithic","early"
"Balbridie Timber Hall","BTH","Neolithic","early"
"Bylany","By","Neolithic","early"
"Bergheim-Zieverich","BZ","Neolithic","early"
"Çayönü","CAIa","PPNA",
"Çayönü","CAIb","PPNB","early"
"Çayönü","CAIc","PPNB","middle"
"Çayönü","CAId","PPNB","late"
"Çayönü","CAIe","PPNC",
"Çayönü","CAII","pottery Neolithic",
"Cape Andreas Kastros","CAK","aceramic Neolithic",
"Crisnée","Ce","Neolithic","early"
"Catignano","Cg","Neolithic","middle"
"Can Hasan III","CHaIII","PPNB","late/final"
"Cafer Höyük","CHI","PPNB","middle/late"
"Cafer Höyük","CHII","PPNB","middle"
"Cafer Höyük","CHIII","PPNB","early/middle"
"Coron Maton","CM","Neolithic","early"
"Consuma 1","Cn1","Neolithic","late"
"Coveta de l'Or","CO","Neolithic","early"
"Coppa Nevigata","CoN","Neolithic","early"
"Circea","Cr","Neolithic","early"
"Cham St. Andreas","CSA","Neolithic","late"
"Cueva de Can Sadurní","CSI","Neolithic","early"
"Cueva de Can Sadurní","CSII","Neolithic","early"
"Çatalhöyük","CtHIX-X","pottery Neolithic",
"Çatalhöyük","CtHPXII-A","aceramic Neolithic",
"Çatalhöyük","CtHPXII-B","aceramic Neolithic",
"Çatalhöyük","CtHPXII-C/D","aceramic Neolithic",
"Çatalhöyük","CtHVI-VIII","pottery Neolithic",
"Çatalhöyük","CtHXI-XII","pottery Neolithic",
"Cavdar","Cv","Neolithic","early"
"Całowanie","Cw","Mesolithic","early"
"Coneybury 'Anomaly'","CyA","Neolithic","early"
"Dhali-Agridhi","DA","aceramic Neolithic",
"Domica Cave","DC","Neolithic","middle"
"Dhuweila","DHI","PPNB","late"
"Dhuweila","DHII","Neolithic","late"
"Djade","DJ","PPNB","early"
"Dimini","Dm","Neolithic","final"
"Darion","Dn","Neolithic","early"
"Derrière-les-Prés","DP","Neolithic","middle"
"Dévaványa-Réhelyi","DR","Neolithic","middle"
"Dösjöbro","Ds","Neolithic","early"
"Dikili Tash","DT","Neolithic","late"
"Divostin","DvI","Neolithic","early"
"Divostin","DvII","Neolithic","late"
"Enkingen","Eg","Neolithic","early"
"Egolzwil 3","Egz3","Neolithic","late"
"El Kowm I","EKIa","PPNB","late"
"El Kowm I","EKIb","pottery Neolithic",
"El Kowm II","EKII","PPNB","final"
"Endersbach","En","Neolithic","middle"
"Erbaba","ER","pottery Neolithic",
"Eilsleben","Es","Neolithic","early"
"Eitzum 2","Et2","Neolithic","early"
"Evendorff","Ev","Neolithic","early"
"Entzheim","Ez","Neolithic","middle/late"
"Franchthi Cave","FCIII","Mesolithic","early"
"Franchthi Cave","FCIV","Mesolithic","late"
"Franchthi Cave","FCV","Mesolithic","final"
"Franchthi Cave","FCVI","Neolithic","initial/aceramic"
"Franchthi Cave","FCVII","Neolithic","middle/late"
"Flagstones","Fg","Neolithic","early"
"Frauenhofen","Fn","Neolithic","early"
"Grotte de l'Aigle","GA","Neolithic","early"
"Galabnik","Gb","Neolithic","early"
"Grotta di Cala Colombo","GCC","Neolithic","late"
"Ganj Dareh Tepe","GD","PPNB","middle"
"Ganj Dareh Tepe","GD-E","PPNB","middle"
"Grotta dell'Uzzo","GdUI","Mesolithic",
