"PHASE","TAXON","CONTAM"
"Ab","CERINDC","No"
"Ab","CERINDG","No"
"Ab","HORDSAS","No"
"Ab","MALUSYL","No"
"Ab","PRUNSPI","No"
"Ab","TRITDIC","No"
"Ab","TRITSPE","No"
"Ab","TRITSPR","No"
"AdV","CORYAVE","No"
"AdV","TRAPNAT","No"
"AEV","ADONDEN","No"
"AEV","ADONMIC","No"
"AEV","ARCTLAP","No"
"AEV","AVENSPE","No"
"AEV","BORAIND","No"
"AEV","BROMSPE","No"
"AEV","BUGLARV","No"
"AEV","CALEARV","No"
"AEV","CENTSPE","No"
"AEV","CICEARI","No"
"AEV","COROSPE","No"
"AEV","CRUCIND","No"
"AEV","CYPESPE","No"
"AEV","ECHPSPE","No"
"AEV","EMEXSPI","No"
"AEV","ERAGBAR","No"
"AEV","ERAGSPE","No"
"AEV","EUPHSPE","No"
"AEV","FICUCAR","No"
"AEV","FUMASPE","No"
"AEV","GALITRI","No"
"AEV","GALIVER","No"
"AEV","GRAMIND","No"
"AEV","GYPSOBI","No"
"AEV","HORDSAI","No"
"AEV","HORDSAN","No"
"AEV","HORSASN","No"
"AEV","HYOSSPE","No"
"AEV","LATHAPH","No"
"AEV","LATHSAT","No"
"AEV","LENSCUL","No"
"AEV","LINUUSI","No"
"AEV","LOLITEM","No"
"AEV","MALUSPE","No"
"AEV","MALVSPE","No"
"AEV","MEDISPE","No"
"AEV","MEDITRU","No"
"AEV","OLEAEUR","No"
"AEV","PAPADUB","No"
"AEV","PHALSPE","No"
"AEV","PISTTER","No"
"AEV","PISUELA","No"
"AEV","PISUSAT","No"
"AEV","POLYSPE","No"
"AEV","PRUNSPE","No"
"AEV","RANUSPE","No"
"AEV","SCORSPE","No"
"AEV","SECACEG","No"
"AEV","SENESPE","No"
"AEV","SETISPE","No"
"AEV","SOLANIG","No"
"AEV","TRIFSPE","No"
"AEV","TRITDIC","No"
"AEV","TRITFTW","No"
"AEV","TRITMOO","No"
"AEV","TRITMOT","No"
"AEV","TRITSPE","No"
"AEV","VEROSPE","No"
"AEV","VICILAT","No"
"AEV","VITISYL","No"
"AG","AMYGSPE","No"
"AG","ASTRSPE","No"
"AG","CICEARI","No"
"AG","FICUCAR","No"
"AG","GALISPE","No"
"AG","HORDSAT","No"
"AG","HORSPSR","No"
"AG","LENSSPE","No"
"AG","LINUSPE","No"
"AG","MEDISPE","No"
"AG","PISTATL","No"
"AG","PISUSAT","No"
"AG","SILESPE","No"
"AG","TRITDIC","No"
"AG","TRITDIS","No"
"AG","VICIFAB","No"
"AG","VICISPE","No"
"AH1","AELLAUT","No"
"AH1","AIZOHIS","No"
"AH1","ALYSSPE","No"
"AH1","ANABNOA","No"
"AH1","ARENSER","No"
"AH1","ARNEDEC","No"
"AH1","ARNELIN","No"
"AH1","ASCLIND","No"
"AH1","ASPASPE","No"
"AH1","ASPHSPE","No"
"AH1","ATRISPE","No"
"AH1","AVENSTE","No"
"AH1","BELLORN","No"
"AH1","BETAVUL","No"
"AH1","BRASSIN","No"
"AH1","BROMSPE","No"
"AH1","BUGLARV","No"
"AH1","BUGLTEN","No"
"AH1","CAMESPE","No"
"AH1","CAMPMON","No"
"AH1","CAPPSPE","No"
"AH1","CAPSBUP","No"
"AH1","CARYIND","No"
"AH1","CELTTOU","No"
"AH1","CHENIND","No"
"AH1","CHENSPE","No"
"AH1","CITRCOL","No"
"AH1","COMPIND","No"
"AH1","CRITDEL","No"
"AH1","CRYPSPE","No"
"AH1","CUTASPE","No"
"AH1","CYPEIND","No"
"AH1","DRABSPE","No"
"AH1","EREMSPE","No"
"AH1","ERODSPE","No"
"AH1","EUCLSYR","No"
"AH1","GLAUSPE","No"
"AH1","GLYCSPE","No"
"AH1","GRAMIND","No"
"AH1","GYPSELE","No"
"AH1","GYPSPIL","No"
"AH1","HAMMSAL","No"
"AH1","HAPLSPE","No"
"AH1","HELOSPE","No"
"AH1","HENRPUB","No"
"AH1","HERNSPE","No"
"AH1","HETESPE","No"
"AH1","HORDSAS","Yes"
"AH1","HORDSPW","No"
"AH1","HORSPSA","Yes"
"AH1","HYPESPE","No"
"AH1","JUNCSPE","No"
"AH1","KOCHPRO","No"
"AH1","KRASCER","No"
"AH1","LABIIND","No"
"AH1","LEGUINL","No"
"AH1","LEGUINS","No"
"AH1","LENSSPE","No"
"AH1","LEPIPER","No"
"AH1","LEPIRUD","No"
"AH1","LILIIND","No"
"AH1","LOLIRIG","No"
"AH1","MINURUB","No"
"AH1","MOLTCOE","No"
"AH1","MUSCSPE","No"
"AH1","NOAEMUC","No"
"AH1","ONOBSPE","No"
"AH1","ORYZHOL","No"
"AH1","PHRAAUS","No"
"AH1","PISTSPE","No"
"AH1","PLANMAJ","No"
"AH1","POLYCOR","No"
"AH1","POTESPE","No"
"AH1","PROSSTE","No"
"AH1","PRUNSPE","No"
"AH1","PYRUSPE","No"
"AH1","RUBIIND","No"
"AH1","RUMESPE","No"
"AH1","SALSSPE","No"
"AH1","SALVCRY","No"
"AH1","SCIRMAR","No"
"AH1","SECACEG","No"
"AH1","SECAMON","No"
"AH1","SECAVAV","No"
"AH1","SETAPAN","No"
"AH1","SPERSPE","No"
"AH1","STIBALA","No"
"AH1","STIPCAP","No"
"AH1","STIPGIG","No"
"AH1","SUAEFRU","No"
"AH1","SUAESPE","No"
"AH1","TORUTOR","No"
"AH1","TRACDIS","No"
"AH1","TRAGSPE","No"
"AH1","TRBOSEM","No"
"AH1","TRIDCDD","Yes"
"AH1","TRIMODI","Yes"
"AH1","TRITBOT","No"
"AH1","TRITDIC","Yes"
"AH1","TRITFTH","Yes"
"AH1","TRITFTT","Yes"
"AH1","TRITFTW","Yes"
"AH1","TRITMON","Yes"
"AH1","TRITMOS","Yes"
"AH1","TRITSPE","Yes"
"AH1","VICIERV","No"
"AH1","VICILAT","No"
"AH1","VULPSPE","No"
"AH1","ZYGOFAB","No"
"AH2A","ADONFLA","No"
"AH2A","AEGISPE","No"
"AH2A","AEGISPG","No"
"AH2A","AEGISPS","No"
"AH2A","AEGISPT","No"
"AH2A","AEGSPSF","No"
"AH2A","AIZOHIS","No"
"AH2A","ALYSSPE","No"
"AH2A","ANDRMAX","No"
"AH2A","ANISBRO","No"
"AH2A","ARABCAR","No"
"AH2A","ARENMIN","No"
"AH2A","ARENSER","No"
"AH2A","ARENSPE","No"
"AH2A","ARNEDEC","No"
"AH2A","ARNELIN","No"
"AH2A","ATRISPE","No"
"AH2A","BORAIND","No"
"AH2A","BRASSIN","No"
"AH2A","BRASSPE","No"
"AH2A","BROMSPE","No"
"AH2A","BUGLTEN","No"
"AH2A","CAPPSPE","No"
"AH2A","CAPSSPE","No"
"AH2A","CARESPE","No"
"AH2A","CARTSPE","No"
"AH2A","CARYIND","No"
"AH2A","CENTSPE","No"
"AH2A","CEPHSYR","No"
"AH2A","CERINDC","No"
"AH2A","CERINDG","No"
"AH2A","CHENCAP","No"
"AH2A","CHENCAR","No"
