"TAXON_NAME","TAXON","FAMILY","GENUS","STATUS"
"Aaronsohnia factorovskyi","AAROFAC","Compositae","Aaronsohnia","wild"
"Abies alba","ABIEALB","Pinaceae","Abies","tree"
"Achillea spp.","ACHISPE","Compositae","Achillea","wild"
"Adonis aestivalis","ADONAES","Ranunculaceae","Adonis","wild"
"Adonis annua","ADONANN","Ranunculaceae","Adonis","wild"
"Adonis dentata [syn. A. microcarpa]","ADONDEN","Ranunculaceae","Adonis","wild"
"Adonis flammea","ADONFLA","Ranunculaceae","Adonis","wild"
"Adonis microcarpa [syn. A. dentata]","ADONMIC","Ranunculaceae","Adonis","wild"
"Adonis spp.","ADONSPE","Ranunculaceae","Adonis","wild"
"Aegilops geniculata/peregrina","AEGGEPE","Gramineae","Aegilops","wild grass"
"Aegilops crassa","AEGICRA","Gramineae","Aegilops","wild grass"
"Aegilops kotschyi","AEGIKOT","Gramineae","Aegilops","wild grass"
"Aegilops spp. grains","AEGISPE","Gramineae","Aegilops","wild grass"
"Aegilops speltoides glume bases","AEGISPG","Gramineae","Aegilops","wild grass"
"Aegilops speltoides spikelet forks","AEGISPS","Gramineae","Aegilops","wild grass"
"Aegilops speltoides grains","AEGISPT","Gramineae","Aegilops","wild grass"
"Aegilops umbellulata","AEGIUMB","Gramineae","Aegilops","wild grass"
"Aegilops spp. glume bases","AEGSPGB","Gramineae","Aegilops","wild grass"
"Aegilops spp. spikelet forks","AEGSPSF","Gramineae","Aegilops","wild grass"
"Aellinia autrani","AELLAUT","Chenopodiaceae","Aellinia","wild"
"Aeluropus spp.","AELUSPE","Gramineae","Aeluropus","wild grass"
"Agrimonia eupatoria","AGRIEUP","Rosaceae","Agrimonia","wild"
"Agrostemma spp.","AGRMSPE","Caryophyllaceae","Agrostemma","wild"
"Agrostemma githago","AGROGIT","Caryophyllaceae","Agrostemma","wild"
"Agrostis spp.","AGROSPE","Gramineae","Agrostis","wild grass"
"Aira spp.","AIRASPE","Gramineae","Aira","wild grass"
"Aizoon hispanicum","AIZOHIS","Aizoaceae","Aizoon","wild"
"Aizoon spp.","AIZOSPE","Aizoaceae","Aizoon","wild"
"Ajuga chamaepitys","AJUGCHA","Labiatae","Ajuga","wild"
"Ajuga genevensis","AJUGGEN","Labiatae","Ajuga","wild"
"Ajuga reptans","AJUGREP","Labiatae","Ajuga","wild"
"Ajuga spp.","AJUGSPE","Labiatae","Ajuga","wild"
"Alcea spp.","ALCESPE","Malvaceae","Alcea","wild"
"Alchemilla spp.","ALCHSPE","Rosaceae","Alchemilla","wild"
"Alismataceae indeterminate","ALISIND","Alismataceae",,
"Alkanna orientalis","ALKAORI","Boraginaceae","Alkanna","wild"
"Alkanna spp.","ALKASPE","Boraginaceae","Alkanna","wild"
"Allium ursinum","ALLIURS","Liliaceae","Allium","wild"
"Alopecurus spp.","ALOPSPE","Gramineae","Alopecurus","wild grass"
"Alopecurus utriculatus","ALOPUTR","Gramineae","Alopecurus","wild grass"
"Alyssum damascenus","ALYSDAM","Cruciferae","Alyssum","wild"
"Alyssum spp.","ALYSSPE","Cruciferae","Alyssum","wild"
"Amaranthus spp.","AMARSPE","Amaranthaceae","Amaranthus","wild"
"Ammi majus","AMMIMAJ","Umbelliferae","Ammi","wild"
"Ammophila arenaria","AMMOARE","Gramineae","Ammophila","wild grass"
"Amygdalus communis/korschinskii","AMYCOKO","Rosaceae","Amygdalus","tree"
"Amygdalus communis","AMYGCOM","Rosaceae","Amygdalus","tree"
"Amygdalus spp.","AMYGSPE","Rosaceae","Amygdalus","tree"
"Anabasis/Noaea spp.","ANABNOA","Chenopodiaceae",,"wild"
"Anagallis arvensis","ANAGARV","Primulaceae","Anagallis","wild"
"Anagallis spp.","ANAGSPE","Primulaceae","Anagallis","wild"
"Anchusa aegyptiaca/milleri","ANCAEMI","Boraginaceae","Anchusa","wild"
"Anchusa officinalis","ANCHOFF","Boraginaceae","Anchusa","wild"
"Anchusa spp.","ANCHSPE","Boraginaceae","Anchusa","wild"
"Androsace maxima","ANDRMAX","Primulaceae","Androsace","wild"
"Androsace spp.","ANDRSPE","Primulaceae","Androsace","wild"
"Anisantha/Bromus spp.","ANISBRO","Gramineae",,"wild grass"
"Anthemis pseudocotula","ANTHPSE","Compositae","Anthemis","wild"
"Anthemis spp.","ANTHSPE","Compositae","Anthemis","wild"
"Antirrhinum orontium","ANTIORO","Scrophulariaceae","Antirrhinum","wild"
"Anvillea garcinii","ANVIGAR","Compositae","Anvillea","wild"
"Aphanes arvensis","APHAARV","Rosaceae","Aphanes","wild"
"Aphanes microcarpa","APHAMIC","Rosaceae","Aphanes","wild"
"Aphanes spp.","APHASPE","Rosaceae","Aphanes","wild"
"Arabis/Cardamine spp.","ARABCAR","Cruciferae",,"wild"
"Arbutilon teophrastii","ARBUTEO","Malvaceae","Arbutilon","shrub"
"Arbutus unedo","ARBUUNE","Ericaceae","Arbutus","tree/shrub"
"Arctostaphylus uva-ursi","ARCOUVU","Ericaceae","Arctostaphylus","wild"
"Arctium lappa","ARCTLAP","Compositae","Arctium","wild"
"Arenaria/Minuartia spp.","ARENMIN","Caryophyllaceae",,"wild"
"Arenaria serpyllifolia","ARENSER","Caryophyllaceae","Arenaria","wild"
"Arenaria spp.","ARENSPE","Caryophyllaceae","Arenaria","wild"
"Arnebia decumbens","ARNEDEC","Boraginaceae","Arnebia","wild"
"Arnebia linearifolia","ARNELIN","Boraginaceae","Arnebia","wild"
"Arnebia spp.","ARNESPE","Boraginaceae","Arnebia","wild"
"Arrhenatherum elatius","ARRHELA","Gramineae","Arrhenatherum","wild grass"
"Artemisia annua","ARTEANN","Compositae","Artemisia","wild"
"Artemisia spp.","ARTESPE","Compositae","Artemisia","wild"
"Artemisia vulgaris","ARTEVUL","Compositae","Artemisia","wild"
"Asclepiadaceae indeterminate","ASCLIND","Asclepiadaceae",,
"Asparagus spp.","ASPASPE","Liliaceae","Asparagus","wild"
"Asperula arvensis","ASPEARV","Rubiaceae","Asperula","wild"
"Asperula/Galium spp.","ASPEGAL","Rubiaceae",,"wild"
"Asperula spp.","ASPESPE","Rubiaceae","Asperula","wild"
"Asphodelus spp.","ASPHSPE","Liliaceae","Asphodelus","wild"
"Asterolinon linum-stellatum","ASTELIS","Primulaceae","Asterolinon","wild"
"Astragalus callichrous","ASTRCAL","Leguminosae","Astragalus","wild"
"Astragalus glycyphyllos","ASTRGLY","Leguminosae","Astragalus","wild"
"Astragalus spp.","ASTRSPE","Leguminosae","Astragalus","wild"
"Atriplex lasiantha","ATRILAS","Chenopodiaceae","Atriplex","wild"
"Atriplex leucoclada","ATRILEU","Chenopodiaceae","Atriplex","wild"
"Atriplex littoralis","ATRILIT","Chenopodiaceae","Atriplex","wild"
"Atriplex patula","ATRIPAT","Chenopodiaceae","Atriplex","wild"
"Atriplex rosea","ATRIROS","Chenopodiaceae","Atriplex","wild"
"Atriplex spp.","ATRISPE","Chenopodiaceae","Atriplex","wild"
"Atriplex tatarica","ATRITAT","Chenopodiaceae","Atriplex","wild"
"Atropa bella-donna","ATROBED","Solanaceae","Atropa","wild"
"Avena barbata","AVENBAR","Gramineae","Avena","wild grass"
"Avena ludoviciana","AVENLUD","Gramineae","Avena","wild grass"
"Avena sativa","AVENSAT","Gramineae","Avena","domestic cereal"
"Avena spp.","AVENSPE","Gramineae","Avena","wild grass"
"Avena sterilis","AVENSTE","Gramineae","Avena","wild grass"
"Avena wiestii","AVENWIE","Gramineae","Avena","wild grass"
"Avena wiestii/barbata","AVEWIBA","Gramineae","Avena","wild grass"
"Bellevalia/Muscari spp.","BELLMUS","Liliaceae",,"wild"
"Bellevalia/Ornithogalum spp.","BELLORN","Liliaceae",,"wild"
"Bellevalia spp.","BELLSPE","Liliaceae","Bellevalia","wild"
"Beta spp.","BETASPE","Chenopodiaceae","Beta","wild"
"Beta vulgaris","BETAVUL","Chenopodiaceae","Beta","wild/cultivated root crop"
"Betula spp.","BETUSPE","Betulaceae","Betula","tree"
"Bifora spp.","BIFOSPE","Umbelliferae","Bifora","wild"
"Boraginaceae indeterminate","BORAIND","Boraginaceae",,
"Brassica nigra","BRASNIG","Cruciferae","Brassica","wild/cultivated oil/root crop"
"Brassica/Sinapis spp.","BRASSIN","Cruciferae",,"wild"
"Brassica spp.","BRASSPE","Cruciferae","Brassica","wild"
"Bromus arvensis/hordeaceus","BROARHO","Gramineae","Bromus","wild grass"
"Bromus arvensis","BROMARV","Gramineae","Bromus","wild grass"
"Bromus hordeaceus","BROMHOR","Gramineae","Bromus","wild grass"
"Bromus mollis","BROMMOL","Gramineae","Bromus","wild grass"
"Bromus mollis/arvensis","BROMOAR","Gramineae","Bromus","wild grass"
"Bromus secalinus","BROMSEC","Gramineae","Bromus","wild grass"
"Bromus spp.","BROMSPE","Gramineae","Bromus","wild grass"
