taxon,TOTALS,Arjoune (5520-Arj),A??kl? Höyük (7670-AsH),Azraq 31 (7335-Az31),Basta (7175-BA),Beidha (7925-BE),Bouqras (6900-BQ),Bouqras (6900-BQs),Cafer Höyük (7350-CHI),Cafer Höyük (7800-CHII),Cafer Höyük (8100-CHIII),Can Hasan III (7150-CHaIII),Cape Andreas Kastros (6450-CAK),Çatalhöyük (6660-CtHIX-X),Çatalhöyük (6660-CtHVI-VIII),Çatalhöyük (6660-CtHXI-XII),Çayönü (6400-CAII),Çayönü (8365-CAId),Çayönü (8550-CAIb),Çayönü (8550-CAIc),Çayönü (9500-CAIa),Çayönü (CAIe),Chia Sabz (8075-ChiSab),Choga Mami (5795-CM-S),Chogha Bonut (6900-ChoBon),Chogha Golan (8200-ChoGo),Demirköy (9360-Demir),Dhra' (9500-DHRA),Dhuweila (6100-DHII),Dhuweila (7265-DHI),Dja'de (8550-DJ),El Kowm II (6675-EKII),El Kowm I (6220-EKIa),El Kowm I (6220-EKIb),El-Hemmeh (6915-ElHemL),El-Hemmeh (8855-ElHem),Erbaba (6450-ER),Ganj Dareh Tepe (7850-GD),Ganj Dareh Tepe (7850-GD-E),Gesher (9950-Gesh),Göbekli Tepe (8900-GoTep),Hacilar (6290-HrII),Hacilar (7875-HrI),Hallan Çemi Tepesi (9485-HCTII),Hasankey Höyük (9440-HasHoy),Iraq ed Dubb (9250-IeDI),Jarmo (7300-Jarmo),Jerf al Ahmar (9075-JA),Jericho (6000-JEIII),Jericho II (7850-JEII),Khirokitia (6475-KhV),Kissonerga Mylouthkia (7150-KMy1B),Kissonerga Mylouthkia (8500-KMy1A),Ko¨rtik Tepe (9500-KortTep),Krittou Marottou 'Ais Yiorkis (7550-Ayiorkis),Magzalia (6650-Mz),M'lefaat (9150-Mf),M'lefaa (9150-MfII),Nahal Hemar (7600-Nhe),Nahal Zehora II (5450-NZIIWR),Nahal Zehora II (6050-NZIIPN),Netiv Hagdud (9075-NH),Neval? Çori (8275-NC),Ohalo II (23000-OII),Qermez Dere (9450-QDII),Salat Cami Yani (6345-SalCY),Sha'ar Hagolan (6230-ShaHag),Tell 'Abr (9120-TELABR),Tell Abu Hureyra (10650-AH1),Tell Abu Hureyra (6200-AH2C),Tell Abu Hureyra (7400-AH2A),Tell Abu Hureyra (7400-AH2B),Tell Aqab (5500-TAQ),Tell Aswad (7600-AsII),Tell El-Kerkh (7550-ElKerk3),Tell El-Kerkh (8430-ElKerk2),Tell Ghoraifé (7425-GhI),Tell Ghoraifé (7425-GhII),Tell Hallula (5925-TelHLP),Tell Hallula (6550-TelHEP),Tell Hallula (7320-TelHLB),Tell Hallula (7550-TelHMB),Tell Kurdu (5550-TKU),Tell Mureybit (8300-MuIV),Tell Mureybit (9950-MuI),Tell Mureybit (9950-MuII),Tell Mureybit (9100-MuIII),Tell Nebi Mend (6830-TNM),Tell Qaramel (10000-TQA1),Tell Qarassa (8590-QaraN),Tell Ramad (6975-RaI),Tell Ramad (6975-RaII),Tell Ras Shamra (6340-RsVa),Tell Ras Shamra (6540-RsVb),Tell Ras Shamra (7100-RsVc),Tell Sabi Abyad (6300-TSAII),Tell Sabi Abyad (5960-TSAI),Tepe Marani (5265-TepMar),Umm Qseir (5750-UQ),Wadi Fidan A (7275-WFA),Wadi Fidan C (6350-WFC),Wadi Hammeh 27 (11875-WH27),Wadi Jilat 13 (6815-WJ13),Wadi Jilat 6 (11330-WJ6),Wadi Jilat 7 (7775-WJ7I),Wadi Jilat 7 (7775-WJ7II),Yarim Tepe I (6400-YTI),Yiftah'el (7950-Y),el-Wad (12000-elWad),Kalavasos Tenta (7175-Kten1-5),Dederiyeh Cave (11065-DedC),P?narba?? (8800 Pinar),Domuztepe (5590-Dtep)
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hordeum spontaneum&vulgare/sativum,40155,94,36,6,67,2,28,369,8,0,3,4,25,19,195,27,4,4,23,2,0,0,43,127,0,98,3,509,0,2,3920,121,5,116,8,175,146,195,80,0,16,5,4,110,0,48,9,13062,1813,1264,120,7,89,0,65,93,15,268,40,2,225,3833,1617,659,31,57,7,190,1,72,139,170,31,399,2,3,4,26,37,253,73,154,1967,3,4,3,172,122,217,228,36,773,107,8,2,252,3089,41,83,27,153,6,78,0,26,178,263,0,33,70,10,1,90
Triticum spp.,271292,2202,767,2,92,2,23,3893,292,163,291,45,302,858,34012,571,1708,310,1500,510,9,15,1,149,119,10,3,49,0,2,1631,883,30,95,13,12,7715,10,2,0,21,7,4,26,0,45,180,2719,7202,5216,4299,572,60,9,346,99,3,139,21,46,6712,150,26792,30,40,2526,38,3089,559,88,161,153,165,22987,39,82,73,1345,44,433,577,376,1328,7,12,11,2173,627,2866,2829,2959,51949,8605,1438,30,389,13529,252,611,246,2717,0,19,0,4,124,22,0,1,165,175,16,17823
Secale spp.,673,0,0,0,0,0,0,0,10,7,6,3,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,1,11,99,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cereal indet. (domestic),48212,67,49,2,21,1,3,1685,91,28,32,0,0,213,1868,89,1,1,1,1,1,1,0,0,110,0,0,1026,0,0,1,236,0,0,19,1634,1,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,922,0,0,0,0,0,0,0,1067,0,0,227,41,0,0,481,221,255,4,0,0,0,1,1,0,0,0,5,11213,0,0,0,0,59,0,0,1,1,1,1,1,0,0,161,20,0,4,1,136,0,13,150,0,0,0,0,0,8,974
Linum,959,0,0,0,0,0,1,0,0,0,1,0,13,0,1,0,0,1,7,90,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,4,4,0,0,39,0,0,0,0,3,0,0,0,0,29,1,0,0,3,2,5,1,16,0,0,3,22,5,62,78,93,1,0,1,2,0,0,0,0,32,267,11,1,2,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Pisum,13413,0,3,0,15,0,1,0,0,0,5,0,4,2,39,2,0,44,94,35,0,40,0,5,219,0,1,0,0,0,1965,0,5,0,0,0,8715,2,0,0,0,1,0,59,4,0,11,485,0,344,5,0,0,0,7,0,0,0,0,0,0,0,137,0,0,2,0,0,0,0,1,0,0,36,1,0,19,7,8,3,8,10,1,2,1,6,13,0,683,7,25,171,12,4,7,0,0,10,1,0,0,0,0,0,0,0,0,0,0,2,5,0,11
Lens,1417527,34,19,0,7,1,1,0,6,1,255,7,146,6,602,3,150,75,15,26,1,94,26,72,3,0,0,0,0,0,5850,0,0,4,3,99,610,19,11,0,1,1,3,10,0,4,90,2087,112,640,64,52,2,0,3,42,82,424,6,4,57,205,342,1,28,8,3,230,48,13,32,20,3,21,87,215,3,0,1,0,221,63,6,8,1,6,30,17,1113,54,75,653,255,63,122,0,16,140,87,0,1,1,2,0,0,7,0,1400000,11,106,19,1,223
Vicia spp.   ,13327,1,80,3,2,2,1,1,1,6,50,67,21,13,64,6,71,3966,667,223,14,8,65,72,0,0,0,0,0,0,36,3,9,0,4,40,713,10,2,4,0,1,0,675,26,7,19,92,0,30,3,0,0,0,3,1,401,919,3,2,5,2,121,1,31,3,1,0,51,0,8,43,1,172,79,515,25,32,9,1,0,2,0,1,0,0,10,7,30,23,25,224,6,0,3,0,0,157,9,1,0,0,1,0,1,21,0,2750,15,15,6,0,2
Cicer,443,0,1,0,0,0,0,0,0,0,0,0,0,1,10,0,6,8,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,8,0,0,42,138,3,0,0,0,0,0,40,0,0,0,0,0,0,1,0,26,0,0,0,0,0,9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
