site,country,region,Latitude,Longitude,Georef rank,Abot sampling,dating,Phase,start date,end date,Median age,-,-,-,-,-,-,-,-,-,-,-,-,references
Abu Hureyra 2A-C,Syria,LN,35.87,38.4,2,3,AMS,Middle PPNB,-7800,-7000,-7400, Tm2,Td,Hv,Sec,Le,Ci,?Pis,?Vic,Vicf,?La,Linu,-7400,de Moulins 1997; 2000
Abu Hureyra I,Syria,LN,35.87,38.4,2,3,AMS,Epipalaeolithic,-11150,-10450,-10800,Tm2,-,-,Sec,Le,-,-,Vic,-,-,Linu,-10800,Colledge and Conolly 2010; Hillman 2000
Ain Ghazal,Jordan,LS,31.98,35.97,2,3,C14,PPNB,-8300,-6600,-7450,-,Td,Hv,-,Le,Ci,Pis,-,Vicf,-,Linu,-7450,Rollefson et al. 1985.
Ais Yiorkis,Cyprus,Cy,34.926482,32.56299,2,3,AMS,MPPNB,-7900,-7500,-7700,Tm Tm2 ,-,Hv,-,Le,-,Pis,-,-,-,-,-7700,"Lucas, 2014; Lucas et al 2012"
Ali Kosh,Iran,E,32.638336,48.17487,3,2,C14,PPNB,-7650,-6800,-7225,Tm,Td,Hv,-,-,-,-,-,-,-,Linu,-7225,Helbaek 1969
Ali Kosh,Iran,E,32.638336,48.17487,3,2,C14,LPNB,-6800,-6100,-6450,Tm,Td,Hv,-,Le,-,-,-,-,-,-,-6450,Helbaek 1969
Arjoune,Syria,LN,34.559115,36.533226,2,3,C14,Neolithic,-5670,-5370,-5520,Tm,Td,Hv,-,Le,-,-,-,Vicf,-,-,-5520,"Moffett, 2003"
Asikli Hoyuk,Turkey,CA,38.349099,34.229505,3,3,C14,MPPNB,-7820,-7520,-7670,Tm,Td Tng,Hv,-,Le,?Ci,Pis,Vic,-,-,-,-7670,van Zeist and de Roller 1995
Atlit-Yam,Israel  ,LS,32.71082778,34.93515,3,3,AMS,PPNC,-7250,-6550,-6900,-,Td,Hv,-,Le,Ci ,-,-,-,-,-,-6900,Kislev et al 2004; Hartmann et al. 2015
Azraq 31,Jordan,LS,31.8,36.82,1,3,C14,PPNB,-7490,-7180,-7335,-,-,Hv,-,-,-,-,?Vic,-,-,-,-7335,Colledge 2001
Basta,Jordan,LS,30.22,35.53,1,3,C14,PPNB,-7550,-7050,-7300,Tm,Td,Hv,-,Le,-,Pis,Vic,-,-,-,-7300,Neef 2004
Beidha,Jordan,LS,30.33,35.43,1,3,C14,PPNB,-8300,-7550,-7925,Tm,Td,Hv,-,Le,Ci,-,Vic,-,-,-,-7925,Colledge 2001
Cafer Hoyuk,Turkey,N,38.42,38.75,1,3,C14,Middle PPNB,-8400,-7800,-8100,Tm,Td,Hv,wSec,Le,?Ci,Pis,Vic,Vicf,La,-,-8100,de Moulins 1997
Cafer Hoyuk,Turkey,N,38.42,38.75,1,3,C14,M/LPPNB,-8250,-7300,-7800,Tm,Td,Hv,wSec,Le,-,-,Vic,-,La,-,-7800,de Moulins 1997
Cafer Hoyuk,Turkey,N,38.42,38.75,1,3,C14,Late PPNB,-7700,-7000,-7350,Tm,Td,Hv,wSec,Le,-,-,-,-,La,-,-7350,de Moulins 1997
Can Hassan III,Turkey,CA,37.263492,33.327873,3,3,C14,Mid/Late PPNB,-7650,-6650,-7150,Tm Tm2,Td Tng,Hv,Sec,Le,-,Pis,Vic,-,-,-,-7150,Hillman 1972; 1978; Renfrew 1968
Cape Andreas-Kastros ,Cyprus,Cy,35.694067,34.585598,2,-,C14,LPPNB,-6800,-6100,-6450,Tm,Td,Hv,-,Le,-,Pis,Vic,?Vicf,-,-,-6450,Van Zeist 1981
Catalhoyuk East,Turkey,CA,37.66587,32.826889,3,3,AMS,PPNB,-7100,-6400,-6750,Tm Tm2,Td Tng,Hv,?Sec,Le,Ci,Pis,Vic,-,La,?wLin,-6750,Fairbairn et al. 2002; Bogaard et al 2017
Catalhoyuk West,Turkey,CA,37.660201,32.806836,2,3,C14,Chalcolithic,-6000,-5750,-5500,Tm Tm2,Td Tng,Hv,-,Le,Ci,Pis,Vic,-,La,-,-5500,Bogaard et al. 2017
Cayonu (CA1a),Turkey,N,38.21815,39.725498,3,2,ass,PPNA,-10200,-8800,-9500,?Tm,?Td,-,-,Le,-,-,-,-,La,-,-9500,van Zeist and de Roller 1992
Cayonu (CA1b),Turkey,N,38.21815,39.725498,3,2,C14,EPPNB,-8800,-8300,-8550,Tm,Td,Hv,-,Le,Ci,Pis,Vic,-,La,-,-8550,van Zeist and de Roller 1992
Cayonu (CA1b/c),Turkey,N,38.21815,39.725498,3,2,C14,E/MPPNB,-8500,-8000,-8250,Tm,Td,Hv,-,Le,-,Pis,Vic,-,La,Linu,-8250,van Zeist and de Roller 1992
Cayonu (CA1c),Turkey,N,38.21815,39.725498,3,2,C14,MPPNB,-8000,-7530,-7765,Tm,Td,Hv,-,Le,Ci,Pis,Vic,-,-,-,-7765,van Zeist and de Roller 1992
Cayonu (CA1d),Turkey,N,38.21815,39.725498,3,2,C14,LPPNB,-7140,-6820,-6980,Tm,Td,Hv,-,Le,-,Pis,Vic,-,-,-,-6980,van Zeist and de Roller 1992
Cayonu (CAY_PN),Turkey,N,38.21815,39.725498,3,2,ass,PN,-6600,-6200,-6400,Tm,Td,Hv,-,Le,Ci,-,Vic,-,-,-,-6400,van Zeist and de Roller 1992
Chaga Sefid,Iran,E,32.580209,47.338174,3,2,ass,Neolithic,-6000,-5000,-5500,-,Td,Hv,-,-,-,-,-,-,-,-,-5500,Hole 1977
Chia Sabz,Iran,E,33.322403,47.170139,3,3,ass,PPNB,-8400,-7700,-8050,?Tm,?Td,Hv,-,Le,-,-,-,-,-,-,-8050,Riehl et al. 2012
Choga Mami,Iraq,E,33.72999954,45.52000046,2,2,C14,Pottery Neolithic,-5980,-5610,-5795,Tm,Td,Hv,-,Le,-,-,-,-,-,Linu,-5795,Helbaek 1972b
Choga Mami,Iraq,E,33.72999954,45.52000046,2,2,ass,Chal,-5850,-5050,-5450,Tm,Td,Hv,-,Le,-,-,-,-,La,Linu,-5450,Helbaek 1972b
Chogha Bonut,Iran,E,32.22261,48.504769,2,1,C-14,7600-6900,-7600,-6900,-7250,Tm,Td,Hv,-,Le,-,-,-,-,-,Linu,-7250,Miller 2003
Chogha Golan,Iran,E,33.391085,46.274762,2,3,AMS,PPNA/EPPNB,-9300,-8450,-8875,?Tm Tm2,?Td,Hv,Sec,Le,-,?Pis,-,-,?La,-,-8875,Riehl et al. 2012; 2015
Chogha Golan,Iran,E,33.391085,46.274762,2,3,AMS,MPPNB,-8750,-7800,-8275,Tm,?Td,Hv,-,Le,-,?Pis,-,-,?La,-,-8275,Riehl et al. 2012; 2015
Chogha Golan,Iran,E,33.391085,46.274762,2,3,AMS,MPPNB,-8350,-7600,-7975,?Tm,Td,Hv,-,Le,-,?Pis,-,-,-,-,-7975,Riehl et al. 2012; 2015
Demirkoy,Iraq,N,37.88333333,41.08333333,2,2,C14,PPNA,-9440,-9280,-9360,-,-,wHv,-,Le,-,-,-,-,-,-,-9360,Savard et al. 2006
