taxon,taxon_code,domestic_wild_status,plant_part,family
Fabaceae indeterminate large,LEGUINL,W,seed/grain frags,Fabaceae
Fabaceae indeterminate large,LEGUINL,W,seed/grain,Fabaceae
Cereal indeterminate basal culm,CERINDB,D,chaff,Poaceae
Cereal indeterminate chaff,CERINDF,D,chaff,Poaceae
Cereal indeterminate culm,CERINDC,D,chaff,Poaceae
Cereal indeterminate grains,CERINDG,D,fragments,Poaceae
Cereal indeterminate grains,CERINDG,D,seed/grain frangs,Poaceae
Cereal indeterminate grains,CERINDG,D,seed/grain,Poaceae
Colutea spp.,COLUSPE,w,seed/grain,Leguminosae
Lupinus angustifolius,LUPIANG,w,seed/grain,Fabaceae
Lupinus sp.,LUPISPE,W,seed/grain,Fabaceae
Scorpiurus muricatus L.,SCORMUR,W,seed/grain,Fabaceae
Scorpiurus sp.,SCORSPE,W,seed/grain,Fabaceae
Ceratonia siliqua L.,CERASIL,W,seed/grain,Fabaceae
Medicago hispida type,MEHITYP,W,seed/grain,Fabaceae
Medicago lacinata,MEDILAC,W,fruits,Fabaceae
Medicago minima,MEDIMIN,w,seed/grain,Leguminosae
Medicago polymorpha L.,MEDIPOL,W,seed/grain,Fabaceae
Medicago radiata L.,MEDIRAD,W,seed/grain,Fabaceae
Medicago sp.,MEDISPE,W,seed/grain,Fabaceae
Medicago sp. Sect. Spirocarpos Ser. (pod),MEDISPO,W,seed/grain,Fabaceae
Medicago type,MEDITYP,W,seed/grain,Fabaceae
Medicago/Meliotus sp.,MEDIMEL,w,seed/grain,Fabaceae
Melilotus sp.,MELISPE,W,seed/grain,Fabaceae
Melilotus/Trifolium,MELITRI,W,seed/grain,Fabaceae
Glycyrrhiza sp.,GLYCSPE,W,seed/grain,Fabaceae
Papilionaceae indet.,PAPIIND,W,seed/grain,Fabaceae
Prosopis farcta (Banks & Sol.) Macbride in Contrib. Gray Herb,PROSFAR,W,seed/grain,Fabaceae
Prosopis sp.,PROSSPE,W,seed/grain,Fabaceae
