taxon,taxon_code,domestic_wild_status,plant_part,family
Astragalus sp.,ASTRSPE,W,seed/grain,Fabaceae
Astragalus/Trigonella,ASTRTRI,W,seed/grain,Fabaceae
Trifolieae,TRIFIND,w,seed/grain,Fabaceae
Trifolium sp.,TRIFSPE,W,seed/grain,Fabaceae
Trifolium type,TRIFTYP,W,seed/grain,Fabaceae
Trigonella arabica/schlumbergeri,TRIARSC,w,seed/grain,Leguminosae
Trigonella astroites - type,TRASTTY,W,seed/grain,Fabaceae
Trigonella astroites Fisch. & Mey.,TRIGAST,W,seed/grain,Fabaceae
Trigonella noeana,TRIGNOE,w,seed/grain,Leguminosae
Trigonella sibthorpii,TRIGSIB,w,seed/grain,Leguminosae
Trigonella sp.,TRIGSPE,W,seed/grain,Fabaceae
Trigonella/Astragalus sp.,TRIASTR,W,seed/grain,Fabaceae
Fabaceae indet.,LEGUIND,W,seed/grain,Fabaceae
Fabaceae indeterminate small,LEGUINS,W,seed/grain,Fabaceae
