taxon,taxon_code,domestic_wild_status,plant_part,family
Aegilops crassa,AEGICRA,W,seed/grain,Poaceae
Aegilops fruit fragment,AEGIFRU,w,fruit,Poaceae
Aegilops geniculata/peregrina,AEGGEPE,w,seed/grain,Poaceae
Aegilops kotschyi,AEGIKOT,w,spikelets,Poaceae
Aegilops sp. glume bases (spikelet bases),AEGSPGB,W,seed/grain,Poaceae
Aegilops sp. glume bases (spikelet bases),AEGSPGB,W,chaff,Poaceae
Aegilops sp. glume bases (spikelet bases),AEGSPGB,W,glume base,Poaceae
Aegilops sp. glume remains,AEGSPGR,W,chaff,Poaceae
Aegilops sp. grains,AEGISPE,W,seed/grain,Poaceae
Aegilops sp. rachis,AEGSPRA,W,chaff,Poaceae
Aegilops sp. spikelet forks (spikelets),AEGSPSF,W,chaff - spikelet fork,Poaceae
Aegilops sp. spikelet forks (spikelets),AEGSPSF,W,seed/grain,Poaceae
Aegilops sp. spikelet forks (spikelets),AEGSPSF,W,chaff,Poaceae
Aegilops speltoides glume bases (spikelet bases),AEGISPG,W,chaff,Poaceae
Aegilops speltoides grains,AEGISPT,w,seed/grain,Poaceae
Aegilops speltoides spikelet forks,AEGISPS,w,chaff,Poaceae
Avena barbata Pott,AVENBAR,W,seed/grain,Poaceae
Avena ludoviciana,AVENLUD,W,seed/grain,Poaceae
Avena sp.,AVENSPE,W,seed/grain,Poaceae
Avena sp. awns,AVENSPA,W,awn,Poaceae
Avena sp. rachilla charred,AVENSPR,W,rachilla node,Poaceae
Avena sp. spikelet,AVENSPS,W,chaff - spikelet fork,Poaceae
Avena sterilis L.,AVENSTE,W,seed/grain,Poaceae
Avena wiestii Steudel,AVENWIE,W,seed/grain,Poaceae
Avena/Stipa,AVENSTI,w,seed/grain,Poaceae
Aveninae,AVENINA,w,seed/grain,Poaceae
Bromus arvensis,BROMARV,w,seed/grain,Poaceae
Bromus danthoniae type,BROMDAT,W,seed/grain,Poaceae
Bromus sp.,BROMSPE,W,seed/grain,Poaceae
Bromus sterilis L.,BROMSTE,W,seed/grain,Poaceae
Bromus/Aegilops spp.,BROmAEG,W,seed/grain,Poaceae
Hordeum bulbosum,HORDBUL,w,seed/grain/bulbil?,Poaceae
Hordeum bulbosum,HORBUBU,w,seed/grain,Poaceae
