variant	canon	group	genus	family	category	founder_crop	edibility	grass_type	legume_type	wood
Abutilon teophrasti	Abutilon teophrasti	Abutilon teophrasti	Abutilon	Malvaceae	Wild plants	NA		NA	NA	NA
Acacia nilotica (L.) Delile	Acacia nilotica	Acacia spp. (incl. nilotica, raddiana)	Acacia	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Large/medium-seeded	NA
Acacia nilotica (L.) Delile wood	Acacia nilotica	Acacia spp. (incl. nilotica, raddiana)	Acacia	Fabaceae	Pulses	NA	NA	NA	Large/medium-seeded	TRUE
Acacia raddiana wood	Acacia raddiana	Acacia spp. (incl. nilotica, raddiana)	Acacia	Fabaceae	Pulses	NA	NA	NA	Large/medium-seeded	TRUE
Acacia sp. wood	Acacia sp.	Acacia spp. (incl. nilotica, raddiana)	Acacia	Fabaceae	Pulses	NA	NA	NA	Large/medium-seeded	TRUE
Achillea	Achillea sp.	Achillea spp. (incl. wilhelmsii)	Achillea	Asteraceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Achillea wilhelmsii	Achillea wilhelmsii	Achillea spp. (incl. wilhelmsii)	Achillea	Asteraceae	Wild plants	NA		NA	NA	NA
Adonis aestivalis	Adonis aestivalis	Adonis spp. (incl. aestivalis, annua, dentata, flammea, microcarpa)	Adonis	Ranunculaceae	Wild plants	NA		NA	NA	NA
Adonis annua	Adonis annua	Adonis spp. (incl. aestivalis, annua, dentata, flammea, microcarpa)	Adonis	Ranunculaceae	Wild plants	NA		NA	NA	NA
Adonis annua type	Adonis annua	Adonis spp. (incl. aestivalis, annua, dentata, flammea, microcarpa)	Adonis	Ranunculaceae	Wild plants	NA		NA	NA	NA
Adonis dentata	Adonis dentata	Adonis spp. (incl. aestivalis, annua, dentata, flammea, microcarpa)	Adonis	Ranunculaceae	Wild plants	NA		NA	NA	NA
Adonis dentata Del.	Adonis dentata	Adonis spp. (incl. aestivalis, annua, dentata, flammea, microcarpa)	Adonis	Ranunculaceae	Wild plants	NA		NA	NA	NA
Adonis dentata Del. uncarbonized	Adonis dentata	Adonis spp. (incl. aestivalis, annua, dentata, flammea, microcarpa)	Adonis	Ranunculaceae	Wild plants	NA		NA	NA	NA
Adonis flammea	Adonis flammea	Adonis spp. (incl. aestivalis, annua, dentata, flammea, microcarpa)	Adonis	Ranunculaceae	Wild plants	NA		NA	NA	NA
Adonis microcarpa DC.	Adonis microcarpa	Adonis spp. (incl. aestivalis, annua, dentata, flammea, microcarpa)	Adonis	Ranunculaceae	Wild plants	NA		NA	NA	NA
Adonis	Adonis sp.	Adonis spp. (incl. aestivalis, annua, dentata, flammea, microcarpa)	Adonis	Ranunculaceae	Wild plants	NA		NA	NA	NA
Adonis sp.	Adonis sp.	Adonis spp. (incl. aestivalis, annua, dentata, flammea, microcarpa)	Adonis	Ranunculaceae	Wild plants	NA		NA	NA	NA
Aegilops crassa	Aegilops crassa	Aegilops spp. (incl. crassa, kotschyi, peregrina, speltoides, umbellulata)	Aegilops	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Aegilops crassa internodes	Aegilops crassa	Aegilops spp. (incl. crassa, kotschyi, peregrina, speltoides, umbellulata)	Aegilops	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Aegilops kotschyi	Aegilops kotschyi	Aegilops spp. (incl. crassa, kotschyi, peregrina, speltoides, umbellulata)	Aegilops	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Aegilops peregrina	Aegilops peregrina	Aegilops spp. (incl. crassa, kotschyi, peregrina, speltoides, umbellulata)	Aegilops	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Aegilops	Aegilops sp.	Aegilops spp. (incl. crassa, kotschyi, peregrina, speltoides, umbellulata)	Aegilops	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Aegilops cylindrica/tauschii/speltoides	Aegilops sp.	Aegilops spp. (incl. crassa, kotschyi, peregrina, speltoides, umbellulata)	Aegilops	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Aegilops geniculata/pergrina	Aegilops sp.	Aegilops spp. (incl. crassa, kotschyi, peregrina, speltoides, umbellulata)	Aegilops	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Aegilops sp. fragment	Aegilops sp.	Aegilops spp. (incl. crassa, kotschyi, peregrina, speltoides, umbellulata)	Aegilops	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Aegilops sp. glume bases (spikelet bases)	Aegilops sp.	Aegilops spp. (incl. crassa, kotschyi, peregrina, speltoides, umbellulata)	Aegilops	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Aegilops sp. glume remains	Aegilops sp.	Aegilops spp. (incl. crassa, kotschyi, peregrina, speltoides, umbellulata)	Aegilops	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Aegilops sp. grains	Aegilops sp.	Aegilops spp. (incl. crassa, kotschyi, peregrina, speltoides, umbellulata)	Aegilops	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Aegilops sp. spikelet forks (spikelets)	Aegilops sp.	Aegilops spp. (incl. crassa, kotschyi, peregrina, speltoides, umbellulata)	Aegilops	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Aegilops speltoides/caudata	Aegilops sp.	Aegilops spp. (incl. crassa, kotschyi, peregrina, speltoides, umbellulata)	Aegilops	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Aegilops spp.	Aegilops sp.	Aegilops spp. (incl. crassa, kotschyi, peregrina, speltoides, umbellulata)	Aegilops	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Aegilops speltoides	Aegilops speltoides	Aegilops spp. (incl. crassa, kotschyi, peregrina, speltoides, umbellulata)	Aegilops	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Aegilops umbellulata	Aegilops umbellulata	Aegilops spp. (incl. crassa, kotschyi, peregrina, speltoides, umbellulata)	Aegilops	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Aegilops umbellulata Zhukovsky	Aegilops umbellulata	Aegilops spp. (incl. crassa, kotschyi, peregrina, speltoides, umbellulata)	Aegilops	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Aellinia sp.	Aellinia sp.	Aellinia sp.	Aellinia	Caryophyllaceae	Wild plants	NA		NA	NA	NA
Aeluropus	Aeluropus sp.	Aeluropus sp.	Aeluropus	Poaceae	Grasses	NA		Small-seeded	NA	NA
Agropyron sp.	Agropyron sp.	Agropyron sp.	Agropyron	Poaceae	Grasses	NA		Small-seeded	NA	NA
Agrostemma githago L.	Agrostemma githago	Agrostemma githago	Agrostemma	Caryophyllaceae	Wild plants	NA		NA	NA	NA
Agrostis	Agrostis sp.	Agrostis sp.	Agrostis	Poaceae	Grasses	NA		Small-seeded	NA	NA
Aizoon hispanicum	Aizoon hispanicum	Aizoon spp. (incl. hispanicum)	Aizoon	Aizoaceae	Wild plants	NA		NA	NA	NA
Aizoon	Aizoon sp.	Aizoon spp. (incl. hispanicum)	Aizoon	Aizoaceae	Wild plants	NA		NA	NA	NA
Aizoon sp.	Aizoon sp.	Aizoon spp. (incl. hispanicum)	Aizoon	Aizoaceae	Wild plants	NA		NA	NA	NA
Ajuga iva	Ajuga iva	Ajuga spp. (incl. iva)	Ajuga	Lamiaceae	Wild plants	NA		NA	NA	NA
Ajuga	Ajuga sp.	Ajuga spp. (incl. iva)	Ajuga	Lamiaceae	Wild plants	NA		NA	NA	NA
Ajuga sp.	Ajuga sp.	Ajuga spp. (incl. iva)	Ajuga	Lamiaceae	Wild plants	NA		NA	NA	NA
Ajuga sp. uncarbonized	Ajuga sp.	Ajuga spp. (incl. iva)	Ajuga	Lamiaceae	Wild plants	NA		NA	NA	NA
Alcea	Alcea sp.	Alcea sp.	Alcea	Malvaceae	Wild plants	NA		NA	NA	NA
Alhagi sp.	Alhagi sp.	Alhagi sp.	Alhagi	Fabaceae	Pulses	NA		NA	Large/medium-seeded	NA
cf. Alhagi sp.	Alhagi sp.	Alhagi sp.	Alhagi	Fabaceae	Pulses	NA		NA	Large/medium-seeded	NA
Alkanna orientalis	Alkanna orientalis	Alkanna spp. (incl. orientalis)	Alkanna	Boraginaceae	Wild plants	NA		NA	NA	NA
Alkanna	Alkanna sp.	Alkanna spp. (incl. orientalis)	Alkanna	Boraginaceae	Wild plants	NA		NA	NA	NA
Alkanna Tausch sp.	Alkanna sp.	Alkanna spp. (incl. orientalis)	Alkanna	Boraginaceae	Wild plants	NA		NA	NA	NA
Alkanna Tausch sp., uncarbonized	Alkanna sp.	Alkanna spp. (incl. orientalis)	Alkanna	Boraginaceae	Wild plants	NA		NA	NA	NA
Allium sativum	Allium sativum	Allium sativum	Allium	Amaryllidaceae	Wild plants	NA	bulb	NA	NA	NA
Alopecurus	Alopecurus sp.	Alopecurus spp. (incl. utriculatus)	Alopecurus	Poaceae	Grasses	NA		Small-seeded	NA	NA
Alopecurus utriculatus	Alopecurus utriculatus	Alopecurus spp. (incl. utriculatus)	Alopecurus	Poaceae	Grasses	NA		Small-seeded	NA	NA
Alyssum damascenus	Alyssum damascenus	Alyssum spp. (incl. damascenus)	Alyssum	Brassicaceae	Wild plants	NA		NA	NA	NA
Alyssum	Alyssum sp.	Alyssum spp. (incl. damascenus)	Alyssum	Brassicaceae	Wild plants	NA		NA	NA	NA
cf. Alyssum sp.	Alyssum sp.	Alyssum spp. (incl. damascenus)	Alyssum	Brassicaceae	Wild plants	NA		NA	NA	NA
Amaranthus	Amaranthus sp.	Amaranthus sp.	Amaranthus	Amaranthaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Amaranthus sp.	Amaranthus sp.	Amaranthus sp.	Amaranthus	Amaranthaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Amaranthus sp. uncarbonized	Amaranthus sp.	Amaranthus sp.	Amaranthus	Amaranthaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Ammi majus	Ammi majus	Ammi majus	Ammi	Apiaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Amygdalus communis L.	Amygdalus communis	Amygdalus spp. (incl. communis, korshinskyi, webii)	Amygdalus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Amygdalus	Amygdalus sp.	Amygdalus spp. (incl. communis, korshinskyi, webii)	Amygdalus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Amygdalus sp.	Amygdalus sp.	Amygdalus spp. (incl. communis, korshinskyi, webii)	Amygdalus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Amygdalus sp. wood	Amygdalus sp.	Amygdalus spp. (incl. communis, korshinskyi, webii)	Amygdalus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	TRUE
Amygdaloideae	NA	Amygdalus spp. (incl. communis, korshinskyi, webii)	NA	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Prunus dulcis	Prunus dulcis	Amygdalus spp. (incl. communis, korshinskyi, webii)	Prunus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Prunus dulcis/korshinskyi	Prunus sp.	Amygdalus spp. (incl. communis, korshinskyi, webii)	Prunus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Prunus webbii/argentea	Prunus sp.	Amygdalus spp. (incl. communis, korshinskyi, webii)	Prunus	Rosaceae	Fruits/nuts	NA	Edible seed/fruit	NA	NA	NA
Anabasis articulata	Anabasis articulata	Anabasis spp. (incl. articulata)	Anabasis	Amaranthaceae	Wild plants	NA		NA	NA	NA
Anabasis sp. wood	Anabasis sp.	Anabasis spp. (incl. articulata)	Anabasis	Amaranthaceae	Wild plants	NA		NA	NA	TRUE
Anagallis arvensis	Anagallis arvensis	Anagallis spp. (incl. arvensis)	Anagallis	Primulaceae	Wild plants	NA		NA	NA	NA
Anagallis arvensis L.	Anagallis arvensis	Anagallis spp. (incl. arvensis)	Anagallis	Primulaceae	Wild plants	NA		NA	NA	NA
Anagallis sp. L.	Anagallis sp.	Anagallis spp. (incl. arvensis)	Anagallis	Primulaceae	Wild plants	NA		NA	NA	NA
Anchusa officinalis L. type	Anchusa officinalis	Anchusa spp. (incl. officinalis)	Anchusa	Boraginaceae	Wild plants	NA		NA	NA	NA
Anchusa	Anchusa sp.	Anchusa spp. (incl. officinalis)	Anchusa	Boraginaceae	Wild plants	NA		NA	NA	NA
Anchusa aegyptiaca/milleri	Anchusa sp.	Anchusa spp. (incl. officinalis)	Anchusa	Boraginaceae	Wild plants	NA		NA	NA	NA
Anchusa L. sp.	Anchusa sp.	Anchusa spp. (incl. officinalis)	Anchusa	Boraginaceae	Wild plants	NA		NA	NA	NA
Androsace maxima	Androsace maxima	Androsace spp. (incl. maxima)	Androsace	Primulaceae	Wild plants	NA		NA	NA	NA
Androsace maxima L.	Androsace maxima	Androsace spp. (incl. maxima)	Androsace	Primulaceae	Wild plants	NA		NA	NA	NA
Androsace	Androsace sp.	Androsace spp. (incl. maxima)	Androsace	Primulaceae	Wild plants	NA		NA	NA	NA
Androsace sp. L.	Androsace sp.	Androsace spp. (incl. maxima)	Androsace	Primulaceae	Wild plants	NA		NA	NA	NA
Anthemis arvensis L.	Anthemis arvensis	Anthemis spp. (incl. arvensis, cotula, pseudocotula)	Anthemis	Asteraceae	Wild plants	NA		NA	NA	NA
Anthemis cotula L.	Anthemis cotula	Anthemis spp. (incl. arvensis, cotula, pseudocotula)	Anthemis	Asteraceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Anthemis pseudocotula	Anthemis pseudocotula	Anthemis spp. (incl. arvensis, cotula, pseudocotula)	Anthemis	Asteraceae	Wild plants	NA		NA	NA	NA
Anthemis pseudocotula Boiss.	Anthemis pseudocotula	Anthemis spp. (incl. arvensis, cotula, pseudocotula)	Anthemis	Asteraceae	Wild plants	NA		NA	NA	NA
Anthemis sp. L.	Anthemis sp.	Anthemis spp. (incl. arvensis, cotula, pseudocotula)	Anthemis	Asteraceae	Wild plants	NA		NA	NA	NA
Antirrhinum orontium	Antirrhinum orontium	Antirrhinum orontium	Antirrhinum	Plantaginaceae	Wild plants	NA		NA	NA	NA
Anvillea garcinii	Anvillea garcinii	Anvillea garcinii	Anvillea	Asteraceae	Wild plants	NA		NA	NA	NA
Apium graveolens	Apium graveolens	Apium graveolens	Apium	Apiaceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Arctium lappa (Boiss. & Bal.)	Arctium lappa	Arctium lappa	Arctium	Asteraceae	Wild plants	NA		NA	NA	NA
Arenaria serpyllifolia	Arenaria serpyllifolia	Arenaria spp. (incl. serpyllifolia)	Arenaria	Caryophyllaceae	Wild plants	NA		NA	NA	NA
Arenaria	Arenaria sp.	Arenaria spp. (incl. serpyllifolia)	Arenaria	Caryophyllaceae	Wild plants	NA		NA	NA	NA
Arenaria sp.	Arenaria sp.	Arenaria spp. (incl. serpyllifolia)	Arenaria	Caryophyllaceae	Wild plants	NA		NA	NA	NA
Arnebia decumbens	Arnebia decumbens	Arnebia spp. (incl. decumbens, linearifolia)	Arnebia	Boraginaceae	Wild plants	NA		NA	NA	NA
Arnebia decumbens  (Vent.) Cosson & Kralik, uncarbonized	Arnebia decumbens	Arnebia spp. (incl. decumbens, linearifolia)	Arnebia	Boraginaceae	Wild plants	NA		NA	NA	NA
Arnebia decumbens (Vent.) Cosson & Kralik	Arnebia decumbens	Arnebia spp. (incl. decumbens, linearifolia)	Arnebia	Boraginaceae	Wild plants	NA		NA	NA	NA
Arnebia linearifolia	Arnebia linearifolia	Arnebia spp. (incl. decumbens, linearifolia)	Arnebia	Boraginaceae	Wild plants	NA		NA	NA	NA
Arnebia linearifolia DC.	Arnebia linearifolia	Arnebia spp. (incl. decumbens, linearifolia)	Arnebia	Boraginaceae	Wild plants	NA		NA	NA	NA
Arnebia	Arnebia sp.	Arnebia spp. (incl. decumbens, linearifolia)	Arnebia	Boraginaceae	Wild plants	NA		NA	NA	NA
Arnebia Forssk. sp.	Arnebia sp.	Arnebia spp. (incl. decumbens, linearifolia)	Arnebia	Boraginaceae	Wild plants	NA		NA	NA	NA
Artemisia	Artemisia sp.	Artemisia sp.	Artemisia	Asteraceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Artemisia sp. L.	Artemisia sp.	Artemisia sp.	Artemisia	Asteraceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
cf. Artemisia sp.	Artemisia sp.	Artemisia sp.	Artemisia	Asteraceae	Wild plants	NA	Edible seed/fruit	NA	NA	NA
Asparagus	Asparagus sp.	Asparagus sp.	Asparagus	Asparagaceae	Wild plants	NA	stems	NA	NA	NA
Asperula sp.	Asperula sp.	Asperula sp.	Asperula	Rubiaceae	Wild plants	NA		NA	NA	NA
Asphodelus aestivus	Asphodelus aestivus	Asphodelus spp. (incl. aestivus, tenuifolius)	Asphodelus	Asphodelaceae	Wild plants	NA	rhizomes, stems and leaves, 	NA	NA	NA
Asphodelus	Asphodelus sp.	Asphodelus spp. (incl. aestivus, tenuifolius)	Asphodelus	Asphodelaceae	Wild plants	NA	rhizomes, stems and leaves, 	NA	NA	NA
Asphodelus tenuifolius	Asphodelus tenuifolius	Asphodelus spp. (incl. aestivus, tenuifolius)	Asphodelus	Asphodelaceae	Wild plants	NA	rhizomes, stems and leaves, 	NA	NA	NA
Asteriscus graveolens	Asteriscus graveolens	Asteriscus graveolens	Asteriscus	Asteraceae	Wild plants	NA	leaves	NA	NA	NA
Asterolinon linum-stellatum	Asterolinon linum-stellatum	Asterolinon linum-stellatum	Asterolinon	Primulaceae	Wild plants	NA		NA	NA	NA
cf. Astragalus annularis	Astragalus annularis	Astragalus spp. (incl. annularis, callichrous, tribuloides, vogelii)	Astragalus	Fabaceae	Pulses	NA		NA	Large/medium-seeded	NA
Astragalus callichrous	Astragalus callichrous	Astragalus spp. (incl. annularis, callichrous, tribuloides, vogelii)	Astragalus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Astragalus	Astragalus sp.	Astragalus spp. (incl. annularis, callichrous, tribuloides, vogelii)	Astragalus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Astragalus callichrous/asterias	Astragalus sp.	Astragalus spp. (incl. annularis, callichrous, tribuloides, vogelii)	Astragalus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Astragalus sp.	Astragalus sp.	Astragalus spp. (incl. annularis, callichrous, tribuloides, vogelii)	Astragalus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
cf. Astragalus sp.	Astragalus sp.	Astragalus spp. (incl. annularis, callichrous, tribuloides, vogelii)	Astragalus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Astragalus tribuloides	Astragalus tribuloides	Astragalus spp. (incl. annularis, callichrous, tribuloides, vogelii)	Astragalus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Astragalus vogelii	Astragalus vogelii	Astragalus spp. (incl. annularis, callichrous, tribuloides, vogelii)	Astragalus	Fabaceae	Pulses	NA	Edible seed/fruit	NA	Small-seeded	NA
Atriplex lasiantha	Atriplex lasiantha	Atriplex spp. (incl. lasiantha, leucoclada, prostrata, rosea)	Atriplex	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Atriplex leucoclada	Atriplex leucoclada	Atriplex spp. (incl. lasiantha, leucoclada, prostrata, rosea)	Atriplex	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Atriplex prostrata	Atriplex prostrata	Atriplex spp. (incl. lasiantha, leucoclada, prostrata, rosea)	Atriplex	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Atriplex rosea	Atriplex rosea	Atriplex spp. (incl. lasiantha, leucoclada, prostrata, rosea)	Atriplex	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Atriplex	Atriplex sp.	Atriplex spp. (incl. lasiantha, leucoclada, prostrata, rosea)	Atriplex	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Atriplex sp.	Atriplex sp.	Atriplex spp. (incl. lasiantha, leucoclada, prostrata, rosea)	Atriplex	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Atriplex sp. uncarbonized	Atriplex sp.	Atriplex spp. (incl. lasiantha, leucoclada, prostrata, rosea)	Atriplex	Chenopodiaceae	Wild plants	NA		NA	NA	NA
Avena barbata	Avena barbata	Avena spp. (incl. barbata, clauda, fatua, sativa, sterilis, wiestii)	Avena	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
cf. Avena barbata	Avena barbata	Avena spp. (incl. barbata, clauda, fatua, sativa, sterilis, wiestii)	Avena	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Avena clauda	Avena clauda	Avena spp. (incl. barbata, clauda, fatua, sativa, sterilis, wiestii)	Avena	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Avena fatua	Avena fatua	Avena spp. (incl. barbata, clauda, fatua, sativa, sterilis, wiestii)	Avena	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Avena fatua L.	Avena fatua	Avena spp. (incl. barbata, clauda, fatua, sativa, sterilis, wiestii)	Avena	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Avena sativa	Avena sativa	Avena spp. (incl. barbata, clauda, fatua, sativa, sterilis, wiestii)	Avena	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Avena	Avena sp.	Avena spp. (incl. barbata, clauda, fatua, sativa, sterilis, wiestii)	Avena	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
Avena sp.	Avena sp.	Avena spp. (incl. barbata, clauda, fatua, sativa, sterilis, wiestii)	Avena	Poaceae	Grasses	NA	Edible seed/fruit	Large/medium-seeded	NA	NA
