"SiteName (SPh)","SitePhase-ID","PhaseName","PhaseDescription","ApproxStartBC","ApproxEndBC","MainPeriod"
"Ayn Abu Nukhayla","AANU PPNB","PPNB",,-7628.00,-7451.00,"PPNB"
"Abu Hureyra","ABHU Epip1","Abu Hureyra 1 (epipalaeolithic) phase 1","Dates approximated from Colledge & Conolly 2010",-11146.00,-11034.00,"Pre-PPNA"
"Abu Hureyra","ABHU Epip2","Abu Hureyra 1 (epipalaeolithic) phase 2","Dates approximated from Colledge & Conolly 2010",-11034.00,-10105.00,"Pre-PPNA"
"Abu Hureyra","ABHU Epip3","Abu Hureyra 1 (epipalaeolithic) phase 3","Dates approximated from Colledge & Conolly 2010",-10105.00,-9820.00,"Pre-PPNA"
"Abu Hureyra","ABHU PN","Pottery Neolithic","Phase 10 in de Moulins (1997)",-5600.00,-5500.00,"PPNC/PN"
"Abu Hureyra","ABHU-EPPNB","Period 2A","Based on de Moulins 1997 (Pg.97). Covers period 2A, which includes Trench-Phases: B1, G1 & Gbottom. Dates from Moore et al 2000 (Pg 493) - BP dates + 2000 years",-7400.00,-6300.00,"PPNB"
"Abu Hureyra","ABHU-LPPNB","Period 2C","Based on de Moulins 1997 (Pg.97). Covers period 2C, which includes Trench-Phases: B8-10, E5-8 & G3-6. Dates from Moore et al 2000 (Pg 493) - BP dates + 2000 years",-5300.00,-5000.00,"PPNC/PN"
"Abu Hureyra","ABHU-MPPNB","Period 2B","Based on de Moulins 1997 (Pg.97). Covers period 2B, which includes Trench-Phases: B2-7, D1-5, E4 & G2. Dates from Moore et al 2000 (Pg 493) - BP dates + 2000 years",-6300.00,-5300.00,"PPNB"
"Ain Ghazal","AIGH M/L-PPNB","middle/late PPNB",,-8326.00,-6632.00,"PPNB"
"Ais Yiorkis","AIYI-PPNB","Site Cypro-PPNB","Phase for whole site based on radiocarbon dates in Lucas2011. Levels are reported for the site, but no date ranges are given. Approx. start and end dates refer to 1SD range of summed probability of dariocarbon determinations (Lucas2011).",-7600.00,-7500.00,"PPNB"
"Asikli Höyük","ASHO M-PPNB","Middle PPNB","Van Zeist & de Roller 1995. Approx date range of site; no phase chronology info.",-8000.00,-7500.00,"PPNB"
"Atlit-Yam","ATYA PPNC","PPNC",,-7069.00,-6092.00,"PPNC/PN"
"Azraq 31","AZ31 L-PPNB/L-N","Late PPNB/LN",,-7356.00,-7284.00,"PPNB"
"Basta I","BAS1 L-PPNB","Phase 4","Main Late-PPNB occupation",-7500.00,-7260.00,"PPNB"
"Basta I","BAS1 L-PPNB-sub","Phase 3","Remains of a (later ?) architectual (sub-?) phase related to the last main Late PPNB occupation. Date added is the same as for Phase 4 as these two phases are descibed as 'related'.",-7500.00,-7260.00,"PPNB"
"Basta I","BAS1 PN","Phase 1 or 2","Remains of the Pottery Neolithic occupation, with similarities to the Yarmukian (PNA) or Remains of a Final PPNB in the so-called rubble layers. Dates are general period dates for Late PPNB from Atlas des Sites.",-7600.00,-6900.00,"PPNC/PN"
"Beidha","BEID A","Phase A","Corresponds to Phase V or VI (Kirkbridge) or Phase A2 or A1 (Byrd) - see Colledge BAR 2001 pg.33.",-8143.00,-7540.00,"PPNB"
"Beidha","BEID B","Phase B","Corresponds to Phase IV (Kirkbridge) or Phase B (Byrd) - see Colledge BAR 2001 pg.33.",-8229.00,-7707.00,"PPNB"
"Cafer Höyük","CAFH E-PPNB","early PPNB","Approx dates from de Moulins 1997 pg.52",-8600.00,-7700.00,"PPNB"
"Cafer Höyük","CAFH L-PPNB","late PPNB","Approx dates from de Moulins 1997 pg.52",-7500.00,-7100.00,"PPNB"
"Cafer Höyük","CAFH M-PPNB","middle PPNB","Approx dates from de Moulins 1997 pg.52",-8100.00,-7350.00,"PPNB"
"Can Hasan III","CAH3 Aceramic","Aceramic","Approx dates from 14C dates reported in Atlas des Sites",-7450.00,-6600.00,"PPNB"
"Çatalhöyük East","CATE Later","Later phases from Mellaart excavation","Late PPNB and PPNC and PN (see Cessford 2001 Antiquity 75: 717-25).",-7300.00,-6400.00,"PPNC/PN"
"Çatalhöyük East","CATE M-L","Middle-Late Neolithic","Phase relating to Bogaard data",-6900.00,-5700.00,"PPNC/PN"
"Çayönü","CAYO basal pits","Basal Pits with no buildings","Dates from Bicakci 1998, PPN phases extend further than van Zeist & de Roller 2003 believed 8250-7750 cal. BC",-7450.00,-7300.00,"PPNB"
"Çayönü","CAYO cell houses","Cell Plan Builgings","Dates from Bicakci 1998, PPN phases extend further than van Zeist & de Roller 2003 believed 8250-7750 cal. BC",-6800.00,-6250.00,"PPNB"
"Çayönü","CAYO cell/large room","Transistion between Cell Plan and Large Room","Dates from Bicakci 1998, PPN phases extend further than van Zeist & de Roller 2003 believed 8250-7750 cal. BC",-6250.00,-6100.00,"PPNB"
"Çayönü","CAYO channelled houses","Channelled or Flagstone Buildings","Dates from Bicakci 1998, PPN phases extend further than van Zeist & de Roller 2003 believed 8250-7750 cal. BC",-7300.00,-7000.00,"PPNB"
"Çayönü","CAYO cobble-paved","Cobble-Paved Buildings","Dates from Bicakci 1998, PPN phases extend further than van Zeist & de Roller 2003 believed 8250-7750 cal. BC",-7000.00,-6800.00,"PPNB"
"Çayönü","CAYO grill plan","Grill Plan Buildings","Dates from Bicakci 1998, PPN phases extend further than van Zeist & de Roller 2003 believed 8250-7750 cal. BC",-8000.00,-7450.00,"PPNB"
"Çayönü","CAYO large room","Large Room Buildings","Dates from Bicakci 1998",-6100.00,-5700.00,"PPNC/PN"
"Çayönü","CAYO PN","Pottery Neolithic",,-5700.00,-5700.00,"PPNC/PN"
"Çayönü","CAYO PPNB","PPNB",,-9200.00,-8700.00,"PPNB"
"Çayönü","CAYO round house","Round Houses or Wattle-and-Daub","Dates from Bicakci 1998, PPN phases extend further than van Zeist & de Roller 2003 believed 8250-7750 cal. BC",-8300.00,-8000.00,"PPNA"
"Çayönü","CAYO site","PPNB to PN","Dates taken from 14C dates given in ""Atlas des Sites"" for Cayonu",-9200.00,-5700.00,"PPNB"
"Chogha Bonut","CHBO Aceramic","Aceramic","Dates from min/max 14C dates listed in Table 15 of Alizadeh 2003 pg149 (see Miller 2003). Six dates related to the aceramic period",-10900.00,-6850.00,"PPNB"
"Chogha Bonut","CHBO Formative","Formative","No 14C dates (one, but erroneous). Alizadeh 2003 pg149 suggests use chronology from Chogha Mish which has three 14C dates.",-5590.00,-5435.00,"PPNC/PN"
"Chogha Golan","CHGO-I","Archaeological horizon I","The PPNC period - 9637 +/- 54 cal BP",-7700.00,-7600.00,"PPNC/PN"
"Chogha Golan","CHGO-II","Archaeological horizon II","The LPPNB period - 9831 +/- 82 cal BP",-7800.00,-7700.00,"PPNB"
"Chogha Golan","CHGO-III","Archaeological horizon III","The MLPPNB period - below 9839 +/-81 cal BP",-7900.00,-7800.00,"PPNB"
"Chogha Golan","CHGO-IV","Archaeological horizon IV","The MPPNB period - spread across 10037 +/- 94 cal BP (v, iv)",-8000.00,-7900.00,"PPNB"
"Chogha Golan","CHGO-IX","Archaeological horizon IX","The PPNA/EPPNB period - spread across 11054 +/- 129 cal BP (XI, X, IX)",-8900.00,-8700.00,"PPNA"
"Chogha Golan","CHGO-V","Archaeological horizon V","The MPPNB period - spread across 10037 +/- 94 cal BP (v, iv)",-8100.00,-8000.00,"PPNB"
"Chogha Golan","CHGO-VI","Archaeological horizon VI","The EPPNB period - spread across 10656 +/- 53 cal BP (vi, vii, viii)",-8300.00,-8100.00,"PPNB"
"Chogha Golan","CHGO-VII","Archaeological horizon VII","The EPPNB period - spread across 10656 +/- 53 cal BP (vi, vii, viii)",-8500.00,-8300.00,"PPNB"
"Chogha Golan","CHGO-VIII","Archaeological horizon VIII","The EPPNB period - spread across 10656 +/- 53 cal BP (vi, vii, viii)",-8700.00,-8500.00,"PPNB"
