"SitePhase-ID","RecordID","Context","ContextDetail","RecordType","Flot","Area","Unit","Level","Notes","Volume","RecoveryMethod","Exclusion notes (if any)","RefCode"
"AANU PPNB","AANU-1",,,"site",,,,,"192 samples from 10 loci.",2270.00,,"Exclude - ?non-representative","HenryEtal03"
"ABHU-LPPNB","ABHU-1","fire pit",,"sample",,"Trench B",,"Phase 8",,20.00,"flotation",,"DeMoulins97"
"ABHU-LPPNB","ABHU-10",,,"sample",,"Trench B",,"Phase 8",,160.00,"flotation",,"DeMoulins97"
"ABHU Epip2","ABHU-100","occupation debris of 2 pits",,"sample",,"Trench E",,,"Most specimens were preserved by charring. Volume of deposit 75 L.",75.00,"flotation",,"MooreEtal2000"
"ABHU Epip1","ABHU-101","occupation debris at pit top
occupation debris of 2 pits",,"sample",,"Trench E",,,"Most specimens were preserved by charring. Volume of deposit 650 L.",650.00,"flotation",,"MooreEtal2000"
"ABHU Epip1","ABHU-102","occupation debris at pit top
occupation debris of 2 pits",,"sample",,"Trench E",,,"Most specimens were preserved by charring. Volume of deposit 388 L.",388.00,"flotation",,"MooreEtal2000"
"ABHU Epip1","ABHU-103","occupation debris
occupation debris",,"sample",,"Trench E",,,"Most specimens were preserved by charring. Volume of deposit 925 L.",925.00,"flotation",,"MooreEtal2000"
"ABHU Epip1","ABHU-104","debris of pit
debris of pit",,"sample",,"Trench E",,,"Most specimens were preserved by charring. Volume of deposit 875 L.",875.00,"flotation",,"MooreEtal2000"
"ABHU Epip3","ABHU-105","occupation debris",,"sample",,"Trench E",,,"Most specimens were preserved by charring. Volume of deposit 375 L.",375.00,"flotation",,"MooreEtal2000"
"ABHU Epip1","ABHU-106","compex no. 2",,"sample",,"Trench E",,,"Most specimens were preserved by charring. Volume of deposit 125 L.",125.00,"flotation",,"MooreEtal2000"
"ABHU Epip1","ABHU-107","occupation debris of 2 pits
occupation debris of 2 pits",,"sample",,"Trench E",,,"Most specimens were preserved by charring. Volume of deposit 150 L.",250.00,"flotation",,"MooreEtal2000"
"ABHU Epip3","ABHU-108","occupation debris",,"sample",,"Trench E",,,"Most specimens were preserved by charring. Volume of deposit 675 L.",675.00,"flotation",,"MooreEtal2000"
"ABHU Epip3","ABHU-109","occupation debris",,"sample",,"Trench E",,,"Most specimens were preserved by charring. Volume of deposit 875 L.",875.00,"flotation",,"MooreEtal2000"
"ABHU-LPPNB","ABHU-11","plaster floor",,"sample",,"Trench B",,"Phase 8",,140.00,"flotation",,"DeMoulins97"
"ABHU Epip3","ABHU-110","occupation debris/floor",,"sample",,"Trench E",,,"Most specimens were preserved by charring. Volume of deposit 1300 L.",1300.00,"flotation",,"MooreEtal2000"
"ABHU Epip3","ABHU-111","occupation debris/floor",,"sample",,"Trench E",,,"Most specimens were preserved by charring. Volume of deposit 450 L.",450.00,"flotation",,"MooreEtal2000"
"ABHU Epip3","ABHU-112","occupation debris/floor",,"sample",,"Trench E",,,"Most specimens were preserved by charring. Volume of deposit 250 L.",250.00,"flotation",,"MooreEtal2000"
"ABHU Epip2","ABHU-113","occupation debris
occupation debris of 2 pits",,"sample",,"Trench E",,,"Most specimens were preserved by charring. Volume of deposit 550 L.",550.00,"flotation",,"MooreEtal2000"
"ABHU Epip2","ABHU-114","occupation debris
occupation debris of 2 pits",,"sample",,"Trench E",,,"Most specimens were preserved by charring. Volume of deposit 1350 L.",1350.00,"flotation",,"MooreEtal2000"
"ABHU-MPPNB","ABHU-12","occupation floor",,"sample",,"Trench B",,"Phase 7",,120.00,"flotation",,"DeMoulins97"
"ABHU-MPPNB","ABHU-13","occupation debris and mudbrick",,"sample",,"Trench B",,"Phase 7",,260.00,"flotation",,"DeMoulins97"
"ABHU-MPPNB","ABHU-14",,,"sample",,"Trench B",,"Phase 6",,10.00,"flotation",,"DeMoulins97"
"ABHU-MPPNB","ABHU-15","firepit",,"sample",,"Trench B",,"Phase 5",,35.00,"flotation",,"DeMoulins97"
"ABHU-MPPNB","ABHU-16","plaster floor",,"sample",,"Trench B",,"Phase 5",,165.00,"flotation",,"DeMoulins97"
"ABHU-MPPNB","ABHU-17","pit fill",,"sample",,"Trench B",,"Phase 4",,120.00,"flotation",,"DeMoulins97"
"ABHU-MPPNB","ABHU-18","occupation floor material",,"sample",,"Trench B",,"Phase 3",,75.00,"flotation",,"DeMoulins97"
"ABHU-MPPNB","ABHU-19","mudbrick wall",,"sample",,"Trench B",,"Phase 3",,260.00,"flotation",,"DeMoulins97"
"ABHU-LPPNB","ABHU-2","pit fill",,"sample",,"Trench B",,"Phase 9",,40.00,"flotation",,"DeMoulins97"
"ABHU-MPPNB","ABHU-20","mudbrick wall",,"sample",,"Trench B",,"Phase 3",,30.00,"flotation",,"DeMoulins97"
"ABHU-MPPNB","ABHU-21","clay fill",,"sample",,"Trench B",,"Phase 2",,270.00,"flotation",,"DeMoulins97"
"ABHU-MPPNB","ABHU-22","firepit",,"sample",,"Trench B",,"Phase 2",,10.00,"flotation",,"DeMoulins97"
