"Refcode","Author","PubYear","Title","Editor","BookTitle","Journal","Volume","IssueNo","Publisher","Pages"
"AkazawaSakaguchi1987","Takeru Akazawa and Yutaka Sakaguchi","1987",,,"Palaeolithic site of Douara Cave and paleogeography of Palmyra Basin in Syria"," Bulletin no. 21, Tokyo University, Tokyo","29",,,
"AkkermansVerhoeven00","Akkermans, P., Verhoeven, M.","2000","Chronology","Verhoeven, M., Akkermans, P.","Tell Sabi Abyad II the pre-pottery Neolithic B settlement",,,,"Nederlands Historisch-Archaeologisch Instituut: Istanbul","1-2"
"Alizadeh03","Alizadeh, A.","2003","Excavations at the prehistoric mound of Chogha Bonut, Khuzestan, Iran",,,,,,"The University of Chicago",
"AtlasDesSites","Hours, F., Aurenche, O., Cauvin, J., Cauvin, M.-C., Copeland, L., Sanlaville, P.","1994","Atlas des sites du proche orient (14000-5700 BP)",,,,,,"CNRS",
"BakhteyevYanushevich1980","Bakhteyev, F. and Yanuschevich, Z.","1980","Discoveries of cultivated plants in the early farming settlements of Yarym-Tepe I and Yarym-Tepe II in Northern Iraq",,,"Journal of Archaeological Science","7",,,"167-178"
"BarYosef85","Bar-Yosef, O.","1985",,,"A Cave in the Desert: Nahal Hemar 9,000-Year-Old-Finds",,,,"Jerusalem: the Israel Museum",
"BarYosefetal1991","Bar-Yosef, O., Gopher, A., Tchernov, E. and Kislev, M.E.","1991","Netiv Hagdud: an early Neolithic village site in the Jordan valley",,,"Journal of Field Archaeology","18",4,,"405-424"
"BogaardEtAl2015","Bogaard, A., Charles, M., Livarda, A., Ergun, M., Filipovic, D. and Jones, G.","2013","The archaeobotany of mid-later Neolithic occupation levels at Çatalhöyük","Hodder, I.","Humans and Landscapes of Çatalhöyük: Reports from the 2000-2008 seasons",,,,"Los Angeles: Monographs of the Cotsen Institute of Archaeology, University of California at Los Angeles","93-128"
"Bordaz73","Bordaz, J.","1973","Current research in the Neolithic of south central Turkey: Suberde, Erbaba and their chronological implications.",,,"American Journal of Archaeology","77",3,,"282-288"
"BY_GM_G2010","Bar-Yosef, O., Goring-Morris, A.N. and Gopher, A.","2010",,,"Gilgal. Early Neolithic Occupations in the Lower Jordan Valley: the Excavations of Tamar Noy.",,,,"Oxford: Oxbow Books",
"Cessford2001","Cessford, C.","2001","A new dating sequence for Çatalhöyük",,,"Antiquity","75",,,"717-725"
"Colledge1998","Colledge, S.","1998","Dhuweila: botanical remains","Betts, A.","The Harra and the Hamad. Excavations and surveys in Eastern Jordan, Volume 1.",,"1",,,"185-196"
"Colledge2001","Colledge, S.","2001",,,"Plant Exploitation on Epipalaeolithic and early Neolithic Sites in the Levant",,,,"Oxford: BAR International Series 986",
"DeMoulins97","De Moulins, D.","1997","Agricultural Changes at Euphrates and Steppe Sites in the Mid-8th to the 6th Millenium B.C.",,,,,,"BAR International Series 683",
"Donaldson85","Donaldson, M.L.","1985","The plant remains","Rollefson, G.O., Simmons, A.H., Donaldson, M.L., Gillespie, W., Kafafi, Z., Köhler-Rollefson, I.U., McAdam, E., Rolston, S.L. and Tubb, M.K.","Excavation at the Pre-Pottery Neolithic B Village of 'Ain Ghazal (Jordan), 1983.","Mitteilungen der Deutschen Orient Gesellschaft Berlin","117",,,"(96-104) 69-134"
"Edwardsetal04","Edwards, P.C., Meadows, J., Sayej, G. And Westaway, M.","2004","From the PPNA to the PPNB: new views from the southern Levant after excavations at Zahrat adh-Dhra' 2 in Jordan",,,"Paléorient","30",2,,"21-60"
"EdwardsFFAS2004","Edwards, P.C., Falconer, S.E., Fall, P.L., Ariotti, A. and Swoveland, T.K.","2004","Archaeology and environment of the Dead Sea plain: preliminary results of the third season of investigation by the joint La Trobe University/Arizona State University project",,,"Annual of the Department of Antiquities of Jordan","48",,,"181-201"
