"RecordID","Spcode","OriginalTaxon","IDlevel","IDnotes","PlantPart","Preservation","Quantification","ScoringSystem","NumberInd","QuantificationNotes","MNPP"
"CATE-1",1,"Descurainia","G",,"seed","c",1,"MNI by weight",2.666121e+06,"convert weight into an estimated no of whole seeds equivalent weight",2666121
"CATE-1",2,"Triticum dicoccum","sp",,"grain","c",1,"MNI",68.00,,68
"CATE-1",3,"Triticum dicoccum","sp",,"embryo end frgs","c",1,"MNI",264.00,,264
"CATE-1",4,"Triticum dicoccum","sp",,"apex end frgs","c",1,"MNI",112.00,,112
"CATE-1",5,"Triticum dicoccum","sp",,"grain","c",1,"fragments",116.00,,116
"CATE-1",6,"Triticum dicoccum","sp",,"apical spikelet fork","c",1,"MNI",12.00,,12
"CATE-1",7,"Triticum dicoccum","sp",,"spikelet fork","c",1,"MNI",32.00,,32
"CATE-1",8,"Triticum dicoccum","sp",,"glume base","c",1,"MNI",84.00,,84
"CATE-1",9,"Triticum dicoccum","sp",,"glume","c",1,"fragments",32.00,,32
"CATE-1",10,"Triticum monococcum","sp",,"embryo end frgs","c",1,"MNI",4.00,,4
"CATE-1",11,"Triticum dicoccum/monococcum","G",,"spikelet fork","c",1,"MNI",12.00,,12
"CATE-1",12,"Triticum dicoccum/monococcum","G",,"glume base","c",1,"MNI",48.00,,48
"CATE-1",13,"Triticum aestivum","sp","type","apical rachis","c",1,"MNI",8.00,,8
"CATE-1",14,"Hordeum vulgare","sp",,"grain","c",1,"MNI",20.00,,20
"CATE-1",15,"Hordeum vulgare","sp",,"embryo end frgs","c",1,"MNI",44.00,,44
"CATE-1",16,"Hordeum vulgare","sp",,"apex end frgs","c",1,"MNI",28.00,,28
"CATE-1",17,"Hordeum vulgare","sp",,"grain other frgs","c",1,"fragments",12.00,,12
"CATE-1",18,"Cereal indeterminate","F",,"rachis segment","c",1,"MNI",16.00,,16
"CATE-1",19,"Cereal indeterminate","F",,"glume","c",1,"fragments",16.00,,16
"CATE-1",20,"Vicia ervilia","cfG",,"seed","c",1,"fragments",4.00,,4
"CATE-1",21,"Viciae","F",,"seed","c",1,"fragments",4.00,,4
"CATE-1",22,"Pistacia","G",,"shell","c",1,"fragments",4.00,,4
"CATE-1",23,"Phalaris","G","spp","seed","c",1,"MNI",4.00,,4
"CATE-1",24,"Polygonum","sp",,"seed","c",1,"MNI",4.00,,4
"CATE-1",25,"Indeterminate",,,"seed","c",1,"fragments",8.00,,8
"CATE-1",26,"Indeterminate",,,"straw","c",1,"fragments",28.00,,28
"CATE-2",27,"Descurainia","G",,"seed","c",1,"MNI by weight",2.581542e+06,"convert weight into an estimated no of whole seeds equivalent weight",2581542
"CATE-3",28,"Descurainia","G",,"seed","c",1,"MNI by weight",8.253505e+06,"convert weight into an estimated no of whole seeds equivalent weight",8253505
"CATE-7",29,"Descurainia","G",,"seed","c",1,"MNI by weight",29894.00,"convert weight into an estimated no of whole seeds equivalent weight",29894
"CATE-7",30,"Capsella","G",,"seed","c",1,"MNI by weight",709992.0,"convert weight into an estimated no of whole seeds equivalent weight",709992
"CATE-7",31,"Cruciferae","F","Capsella/Descurainia type","seed","c",1,"MNI by weight",7473.00,"convert weight into an estimated no of whole seeds equivalent weight",7473
"CATE-7",32,"Triticum dicoccum","sp",,"grain","c",1,"MNI",24.00,,24
"CATE-7",33,"Triticum dicoccum/monococcum","G",,"spikelet fork","c",1,"MNI",16.00,,16
"CATE-7",34,"Triticum dicoccum/monococcum","G",,"glume base","c",1,"MNI",24.00,,24
"CATE-7",35,"Triticum","G",,"grain","c",1,"MNI",8.00,,8
"CATE-7",36,"Hordeum vulgare var. nudum","ssp",,"grain","c",1,"MNI",32.00,,32
"CATE-7",37,"Cereal indeterminate","F",,"grain and other","c",1,"fragments",352.00,,352
"CATE-7",38,"Cereal indeterminate","F",,"culm","c",1,"MNI",8.00,,8
"CATE-7",39,"Vicia ervilia","cfG",,"seed","c",1,"fragments",32.00,,32
"CATE-6",40,"Eremopyrum","G","type","seed","c",1,"MNI by weight",1896.00,"convert weight into an estimated no of whole seeds equivalent weight",1896
"CATE-6",41,"Eremopyrum","cfG","type","spikelet fork","c",1,"MNI",104.00,,104
"CATE-6",42,"Taeniatherum caput-medusae","sp",,"seed","c",1,"MNI by weight",14353.00,"convert weight into an estimated no of whole seeds equivalent weight",14353
"CATE-6",43,"Taeniatherum caput-medusae","sp",,"spikelet base","c",1,"MNI",964.00,,964
"CATE-6",44,"Taeniatherum caput-medusae","sp",,"glume base","c",1,"MNI",156.00,,156
"CATE-6",45,"Vicia/Lathyrus","cfG",,"seed","c",1,"MNI",4.00,,4
"CATE-6",46,"Cereal indeterminate","F",,"grain and other","c",1,"fragments",104.00,,104
"CATE-6",47,"Pistacia","G",,"shell","c",1,"MNI",5.00,,5
"CATE-6",48,"Beta","G",,"seed","c",1,"MNI",4.00,,4
"CATE-6",49,"Stipa","cfG",,"apex end frgs","c",1,"MNI",4.00,,4
"CATE-6",50,"Indeterminate",,,"seed","c",1,"fragments",4.00,,4
"CATE-4",51,"Cruciferae","F","Capsella/Descurainia type","seed","c",1,"MNI by weight",752.00,"convert weight into an estimated no of whole seeds equivalent weight",752
"CATE-4",52,"Taeniatherum caput-medusae","sp",,"seed","c",1,"MNI by weight",10624.00,"convert weight into an estimated no of whole seeds equivalent weight",10624
"CATE-4",53,"Taeniatherum caput-medusae","sp",,"spikelet fork","c",1,"MNI",108.00,,108
"CATE-4",54,"Cereal indeterminate","F",,"embryo end frgs","c",1,"MNI",4.00,,4
"CATE-4",55,"Cereal indeterminate","F",,"grain and other","c",1,"fragments",4.00,,4
"CATE-4",56,"Cereal indeterminate","F",,"rachis segment","c",1,"MNI",20.00,,20
"CATE-4",57,"Vicia","G",,"seed","c",1,"MNI",4.00,,4
"CATE-4",58,"Viciae","F",,"seed","c",1,"fragments",16.00,,16
"CATE-4",59,"Indeterminate",,,"seed","c",1,"fragments",4.00,,4
"CATE-4",60,"Astragalus","G",,"seed","c",1,"MNI",8.00,,8
"CATE-4",61,"Bromus","G",,"embryo end frgs","c",1,"MNI",28.00,,28
"CATE-4",62,"Bromus","G",,"apex end frgs","c",1,"MNI",56.00,,56
"CATE-4",63,"Bromus","G",,"seed","c",1,"fragments",188.00,,188
"CATE-4",64,"Caryophyllaceae","F",,"seed","c",1,"MNI",4.00,,4
"CATE-4",65,"Cruciferae","F",,"seed","c",1,"MNI",4.00,,4
"CATE-4",66,"Cyperaceae","F",,"seed","c",1,"MNI",17.00,,17
"CATE-4",67,"Lepidium","G","type","seed","c",1,"MNI",19.00,,19
"CATE-4",68,"Papaver","G",,"seed","c",1,"MNI",8.00,,8
"CATE-4",69,"Phalaris","G",,"seed","c",1,"MNI",32.00,,32
"CATE-4",70,"Phalaris","G",,"seed","c",1,"fragments",40.00,,40
"CATE-4",71,"Gramineae","F",,"seed","c",1,"fragments",52.00,,52
"CATE-4",72,"Polygonum","G",,"seed","c",1,"MNI",4.00,,4
"CATE-4",73,"Bolboschoenus glaucus","sp",,"seed","c",1,"MNI",4.00,,4
"CATE-4",74,"Indeterminate",,,"seed","c",1,"fragments",92.00,,92
"CATE-8",75,"Vicia/Lathyrus","cfG",,"seed","c",1,"MNI",126.00,,126
"CATE-8",76,"Triticum dicoccum","sp",,"grain","c",1,"MNI",1.00,,1
"CATE-8",77,"Triticum aestivum/durum","G",,"grain","c",1,"MNI",2.00,,2
"CATE-8",78,"Triticum","G",,"grain","c",1,"MNI",1.00,,1
"CATE-8",79,"Triticum","G",,"grain and other","c",1,"fragments",2.00,,2
"CATE-8",80,"Lathyrus","cfG",,"seed","c",1,"MNI",1.00,,1
"CATE-8",81,"Leguminosae","F",,"seed","c",1,"fragments",22.00,,22
"CATE-8",82,"Gramineae","F",,"seed","c",1,"fragments",1.00,,1
"CATE-5",83,"Helianthemum","G","spp","seed","c",1,"MNI by weight",56128.00,"convert weight into an estimated no of whole seeds equivalent weight",56128
"CATE-5",84,"Triticum dicoccum/monococcum","G",,"glume base","c",1,"MNI",96.00,,96
"CATE-5",85,"Cereal indeterminate",,,"grain and other","c",1,"fragments",32.00,,32
"CATE-5",86,"Cerasus/Prunus","cfG",,"seed","c",1,"MNI by weight",1.00,,1
"CATE-5",87,"Indeterminate",,"food?","seed","c",1,"fragments",96.00,,96
"CATE-5",88,"Gramineae","F",,"seed","c",1,"fragments",32.00,,32
"CATE-5",89,"Indeterminate",,"wild?","seed","c",1,"fragments",7.00,,7
"CATE-5",90,"Indeterminate",,,"straw","c",1,"fragments",96.00,,96
"TAKO-2",91,"Triticum monococcum","sp",,"grain","c",1,"MNI",1.00,,1
"TAKO-2",92,"Triticum dicoccum","sp",,"grain","c",1,"MNI by weight",300.00,"Acc to average grain weight",300
"TAKO-2",93,"Triticum dicoccum/monococcum","G",,"glume","c",1,"fragments",2812.00,,2812
"TAKO-2",94,"Hordeum vulgare","sp","hulled, straight","grain","c",1,"MNI by weight",154.00,"Acc to average grain weight",154
"TAKO-2",95,"Hordeum vulgare var. nudum","sp",,"grain","c",1,"MNI by weight",13.00,"Acc to average grain weight",13
"TAKO-2",96,"Cereal indeterminate","F",,"grain","c",1,"MNI by weight",601.00,"Acc to average grain weight",601
"TAKO-2",97,"Linum bienne","G",,"seed","c",1,"MNI",3.00,,3
"TAKO-2",98,"Aegilops crassa","sp",,"seed","c",1,"MNI",38.00,,38
"TAKO-2",99,"Lolium rigidum","G",,"seed","c",1,"MNI",25.00,,25
"TAKO-2",100,"Triticum boeoticum","sp",,"grain","c",1,"MNI",8.00,,8
"TAKO-2",101,"Avena","G",,"grain","c",1,"MNI",19.00,,19
"TAKO-2",102,"Phalaris paradoxa","G",,"grain","c",1,"MNI",258.00,,258
"TAKO-2",103,"Heliotropium persicum","sp",,"seed","c",1,"MNI",81.00,,81
"TAKO-2",104,"Echium","G",,"seed","c",1,"MNI",38.00,,38
