"OriginalTaxon","ProjectTaxon"
"Abutilon teophrasti","Abutilon teophrasti"
"Acacia/Prosopis","Acacia/Prosopis"
"Achillea wilhelmsii","Achillea wilhelmsii"
"Adonis","Adonis"
"Adonis aestivalis","Adonis aestivalis"
"Adonis annua","Adonis annua"
"Adonis annua/aestivalis","Adonis annua/aestivalis"
"Adonis annuis","Adonis annua"
"Adonis dentata","Adonis dentata"
"Adonis dentata/microcarpa","Adonis dentata/microcarpa"
"Adonis flammea","Adonis flammea"
"Aegilops","Aegilops"
"Aegilops crassa","Aegilops crassa"
"Aegilops cylindrica/tauschii/speltoides","Aegilops cylindrica/tauschii/speltoides"
"Aegilops geniculata/pergrina","Aegilops geniculata/pergrina"
"Aegilops kotschyi","Aegilops kotschyi"
"Aegilops peregrina","Aegilops peregrina"
"Aegilops speltoides","Aegilops speltoides"
"Aegilops speltoides/caudata","Aegilops speltoides/caudata"
"Aegilops umbellulata","Aegilops umbellulata"
"Aegilops/Hordeum","Hordeum/Aegilops"
"Aegilops/Triticum","Triticum/Aegilops"
"Aellenia autrani","Halothamnus hierochunticus"
"Aeluropis/Agrostis/Eragrostis","Aeluropus/Agrostis/Eragrostis"
"Aeluropus","Aeluropus"
"Agropyron/Eremopyrum","Agropyron/Eremopyrum"
"Agrostis","Agrostis"
"Aizoon","Aizoon"
"Aizoon hispanicum","Aizoon hispanicum"
"Ajuga","Ajuga"
"Ajuga chia","Ajuga chia"
"Ajuga/Teucrium","Ajuga/Teucrium"
"Alcea","Alcea"
"Alisma","Alisma"
"Alismataceae","Alismataceae"
"Alkanna","Alkanna"
"Alkanna orientalis","Alkanna orientalis"
"Alopecurus","Alopecurus"
"Alopecurus utriculatus","Alopecurus utriculatus"
"Alopecurus utriculatus/arundinaceus","Alopecurus utriculatus/arundinaceus"
"Alyssum","Alyssum"
"Alyssum damascenus","Alyssum damascenus"
"Alyssum/Lepidum","Alyssum/Lepidium"
"Amaranthaceae","Amaranthaceae"
"Amaranthus","Amaranthus"
"Ammi majus","Ammi majus"
"Amygdalaceae","Amygdaloideae"
"Amygdaloideae","Amygdaloideae"
"Amygdalus","Amygdaloideae"
"Amygdalus communis","Prunus dulcis/korshinskyi"
"Amygdalus communis/korschinskii","Prunus dulcis/korshinskyi"
"Amygdalus communis/Prunus amygdalus","Prunus dulcis"
"Amygdalus orientalis","Prunus argentea"
"Amygdalus webbii/orientalis","Prunus webbii/argentea"
"Amygdalus/Prunus","Prunus"
"Anabasis/Noaea","Anabasis/Noaea"
"Anagallis","Anagallis"
"Anagallis arvensis","Anagallis arvensis"
"Anchusa","Anchusa"
"Anchusa aegyptiaca/milleri","Anchusa aegyptiaca/milleri"
"Anchusa officinalis","Anchusa officinalis"
"Androsace","Androsace"
"Androsace maxima","Androsace maxima"
"Anisantha/Bromus","Bromus"
"Anthemideae","Anthemideae"
"Anthemis","Anthemis"
"Anthemis pseudocotula","Anthemis pseudocotula"
"Antirrhinum orontium","Antirrhinum orontium"
"Anvillea garcinii","Anvillea garcinii"
"Aphanes","Aphanes"
"Apiaceae","Umbelliferae"
"Apiaceae bupleurum","Bupleurum"
"Arabis/Cardamine","Arabis/Cardamine"
"Arenaria","Arenaria"
"Arenaria serpyllifolia","Arenaria serpyllifolia"
"Arenaria/Minuartia","Arenaria/Minuartia"
"Arnebia","Arnebia"
"Arnebia decumbens","Arnebia decumbens"
"Arnebia linearifolia","Arnebia linearifolia"
"Arnebia/Lithospermum","Arnebia/Lithospermum"
"Artemisia","Artemisia"
"Artemisia annua","Artemisia annua"
"Artemisia vulgaris","Artemisia vulgaris"
"Arundo/Phragmites","Arundo/Phragmites"
"Asclepiadaceae","Asclepiadaceae"
"Asparagus","Asparagus"
"Asperula/Galium sect. Kolgyda","Asperula/Galium sect. Kolgyda"
"Asphodelus","Asphodelus"
"Asphodelus microcarpa","Asphodelus aestivus"
"Asteraceae","Asteraceae"
"Asteraceae achillea","Achillea"
"Asterolinon linum-stellatum","Asterolinon linum-stellatum"
"Astragalus","Astragalus"
"Astragalus callichrous","Astragalus callichrous"
"Astragalus echinus","Astragalus echinus"
"Astragalus/Trigonella","Astragalus/Trigonella"
"Atriplex","Atriplex"
"Atriplex lasiantha","Atriplex lasiantha"
"Atriplex leucoclada","Atriplex leucoclada"
"Atriplex prostata","Atriplex prostrata"
"Atriplex prostrata","Atriplex prostrata"
"Atriplex rosea","Atriplex rosea"
"Atriplex rosea/leucoclada","Atriplex rosea/leucoclada"
"Atriplex sect. rosea","Atriplex rosea"
"Atriplex tartarica","Atriplex tatarica"
"Atriplex tatarica","Atriplex tatarica"
"Atriplex tatarica/laciniata","Atriplex tatarica"
"Atriplex/Chenopodium","Atriplex/Chenopodium"
"Avena","Avena"
"Avena barbata","Avena barbata"
"Avena barbata/wiestii","Avena barbata"
"Avena clauda","Avena clauda"
"Avena fatua","Avena fatua"
"Avena ludoviciana","Avena sterilis"
"Avena sterilis","Avena sterilis"
"Avena wiestii","Avena barbata"
"Avena wiestii/barbata","Avena barbata"
"Avena/Eremopyrum","Avena/Eremopyrum"
"Avena/Stipa","Avena/Stipa"
"Aveneadeae","Aveneae"
"Bellevalia","Bellevalia"
"Bellevalia/Muscari","Bellevalia/Muscari"
"Bellevalia/Ornithogalum","Bellevalia/Ornithogalum"
"Beta","Beta"
"Bifora","Bifora"
"Bolboschoenus","Bolboschoenus"
"Bolboschoenus glaucus","Bolboschoenus glaucus"
"Bolboschoenus maritimus","Bolboschoenus maritimus"
"Boraginaceae","Boraginaceae"
"Boreava orientalis","Boreava orientalis"
