"ProjectTaxon","Family","Genus","IDtype","DomProgWild"
"Abutilon teophrasti","Malvaceae","Abutilon","Single ID","Wild"
"Acacia/Prosopis","Fabaceae","Acacia/Prosopis","Multi ID","Wild"
"Achillea","Asteraceae","Achillea","Single ID","Wild"
"Achillea wilhelmsii","Asteraceae","Achillea","Single ID","Wild"
"Adonis","Ranunculaceae","Adonis","Single ID","Wild"
"Adonis aestivalis","Ranunculaceae","Adonis","Single ID","Wild"
"Adonis annua","Ranunculaceae","Adonis","Single ID","Wild"
"Adonis annua/aestivalis","Ranunculaceae","Adonis","Multi ID","Wild"
"Adonis dentata","Ranunculaceae","Adonis","Single ID","Wild"
"Adonis dentata/microcarpa","Ranunculaceae","Adonis","Multi ID","Wild"
"Adonis flammea","Ranunculaceae","Adonis","Single ID","Wild"
"Aegilops","Poaceae","Aegilops","Single ID","Wild"
"Aegilops crassa","Poaceae","Aegilops","Single ID","Wild"
"Aegilops cylindrica/tauschii/speltoides","Poaceae","Aegilops","Multi ID","Wild"
"Aegilops geniculata/pergrina","Poaceae","Aegilops","Multi ID","Wild"
"Aegilops kotschyi","Poaceae","Aegilops","Single ID","Wild"
"Aegilops peregrina","Poaceae","Aegilops","Single ID","Wild"
"Aegilops speltoides","Poaceae","Aegilops","Single ID","Wild"
"Aegilops speltoides/caudata","Poaceae","Aegilops","Multi ID","Wild"
"Aegilops umbellulata","Poaceae","Aegilops","Single ID","Wild"
"Aeluropus","Poaceae","Aeluropus","Single ID","Wild"
"Aeluropus/Agrostis/Eragrostis","Poaceae","Aeluropus/Agrostis/Eragrostis","Multi ID","Wild"
"Agropyron/Eremopyrum","Poaceae","Agropyron/Eremopyrum","Multi ID","Wild"
"Agrostis","Poaceae","Agrostis","Single ID","Wild"
"Aizoon","Aizoaceae","Aizoon","Single ID","Wild"
"Aizoon hispanicum","Aizoaceae","Aizoon","Single ID","Wild"
"Ajuga","Lamiaceae","Ajuga","Single ID","Wild"
"Ajuga chia","Lamiaceae","Ajuga chia","Single ID","Wild"
"Ajuga/Teucrium","Lamiaceae","Ajuga/Teucrium","Multi ID","Wild"
"Alcea","Malvaceae","Alcea","Single ID","Wild"
"Alisma","Alismataceae","Alisma","Single ID","Wild"
"Alismataceae","Alismataceae","Above Genus ID","Single ID","Wild"
"Alkanna","Boraginaceae","Alkanna","Single ID","Wild"
"Alkanna orientalis","Boraginaceae","Alkanna","Single ID","Wild"
"Alopecurus","Poaceae","Alopecurus","Single ID","Wild"
"Alopecurus utriculatus","Poaceae","Alopecurus","Single ID","Wild"
"Alopecurus utriculatus/arundinaceus","Poaceae","Alopecurus","Multi ID","Wild"
"Alyssum","Brassicaceae","Alyssum","Single ID","Wild"
"Alyssum damascenus","Brassicaceae","Alyssum","Single ID","Wild"
"Alyssum/Lepidium","Brassicaceae","Alyssum/Lepidium","Multi ID","Wild"
"Amaranthaceae","Amaranthaceae","Above Genus ID","Single ID","Wild"
"Amaranthus","Amaranthaceae","Amaranthus","Single ID","Wild"
"Ammi majus","Apiaceae","Ammi","Single ID","Wild"
"Amygdaloideae","Rosaceae","Above Genus ID","Single ID","Wild"
"Anabasis/Noaea","Amaranthaceae","Anabasis/Noaea","Multi ID","Wild"
"Anagallis","Primulaceae","Anagallis","Single ID","Wild"
"Anagallis arvensis","Primulaceae","Anagallis","Single ID","Wild"
"Anchusa","Boraginaceae","Anchusa","Single ID","Wild"
"Anchusa aegyptiaca/milleri","Boraginaceae","Anchusa","Multi ID","Wild"
"Anchusa officinalis","Boraginaceae","Anchusa","Single ID","Wild"
"Androsace","Primulaceae","Androsace","Single ID","Wild"
"Androsace maxima","Primulaceae","Androsace","Single ID","Wild"
"Anthemideae","Asteraceae","Anthemideae","Single ID","Wild"
"Anthemis","Asteraceae","Anthemis","Single ID","Wild"
"Anthemis pseudocotula","Asteraceae","Anthemis","Single ID","Wild"
"Antirrhinum orontium","Scrophulariaceae","Antirrhinum","Single ID","Wild"
"Anvillea garcinii","Asteraceae","Anvillea","Single ID","Wild"
"Aphanes","Rosaceae","Aphanes","Single ID","Wild"
"Arabis/Cardamine","Brassicaceae","Arabis/Cardamine","Multi ID","Wild"
"Arenaria","Caryophyllaceae","Arenaria","Single ID","Wild"
"Arenaria serpyllifolia","Caryophyllaceae","Arenaria","Single ID","Wild"
"Arenaria/Minuartia","Caryophyllaceae","Arenaria/Minuartia","Multi ID","Wild"
"Arnebia","Boraginaceae","Arnebia","Single ID","Wild"
"Arnebia decumbens","Boraginaceae","Arnebia","Single ID","Wild"
"Arnebia linearifolia","Boraginaceae","Arnebia","Single ID","Wild"
"Arnebia/Lithospermum","Boraginaceae","Arnebia/Lithospermum","Multi ID","Wild"
"Artemisia","Asteraceae","Artemisia","Single ID","Wild"
"Artemisia annua","Asteraceae","Artemisia","Single ID","Wild"
"Artemisia vulgaris","Asteraceae","Artemisia","Single ID","Wild"
"Arundo/Phragmites","Poaceae","Arundo/Phragmites","Multi ID","Wild"
"Asclepiadaceae","Apocynaceae","Above Genus ID","Single ID","Wild"
"Asparagus","Asparagaceae","Asparagus","Single ID","Wild"
"Asperula/Galium sect. Kolgyda","Rubiaceae","Asperula/Galium","Multi ID","Wild"
"Asphodelus","Liliaceae","Asphodelus","Single ID","Wild"
"Asphodelus aestivus","Liliaceae","Asphodelus","Single ID","Wild"
"Asteraceae","Asteraceae","Above Genus ID","Single ID","Wild"
"Asterolinon linum-stellatum","Primulaceae","Asterolinon","Single ID","Wild"
"Astragalus","Fabaceae","Astragalus","Single ID","Wild"
"Astragalus callichrous","Fabaceae","Astragalus","Single ID","Wild"
"Astragalus echinus","Fabaceae","Astragalus","Single ID","Wild"
"Astragalus/Trigonella","Fabaceae","Astragalus/Trigonella","Multi ID","Wild"
"Atriplex","Amaranthaceae","Atriplex","Single ID","Wild"
"Atriplex lasiantha","Amaranthaceae","Atriplex","Single ID","Wild"
"Atriplex leucoclada","Amaranthaceae","Atriplex","Single ID","Wild"
"Atriplex prostrata","Amaranthaceae","Atriplex","Single ID","Wild"
"Atriplex rosea","Amaranthaceae","Atriplex","Single ID","Wild"
"Atriplex rosea/leucoclada","Amaranthaceae","Atriplex","Multi ID","Wild"
"Atriplex tatarica","Amaranthaceae","Atriplex","Single ID","Wild"
"Atriplex/Chenopodium","Amaranthaceae","Chenopodium/Atriplex","Multi ID","Wild"
"Avena","Poaceae","Avena","Single ID","Wild"
"Avena barbata","Poaceae","Avena","Single ID","Wild"
"Avena clauda","Poaceae","Avena","Single ID","Wild"
"Avena fatua","Poaceae","Avena","Single ID","Wild"
"Avena sterilis","Poaceae","Avena","Single ID","Wild"
"Avena/Eremopyrum","Poaceae","Avena/Eremopyrum","Multi ID","Wild"
"Avena/Stipa","Poaceae","Avena/Stipa","Multi ID","Wild"
"Aveneae","Poaceae","Above Genus ID","Single ID","Wild"
"Bassia arabica","Amaranthaceae","Chenolea","Single ID","Wild"
"Bassia prostrata","Amaranthaceae","Bassia","Single ID","Wild"
"Bellevalia","Asparagaceae","Bellevalia","Single ID","Wild"
"Bellevalia/Muscari","Asparagaceae","Bellevalia/Muscari","Multi ID","Wild"
"Bellevalia/Ornithogalum","Asparagaceae","Bellevalia/Ornithogalum","Multi ID","Wild"
"Beta","Amaranthaceae","Beta","Single ID","Wild"
"Bifora","Apiaceae","Bifora","Single ID","Wild"
"Bolboschoenus","Cyperaceae","Bolboschoenus","Single ID","Wild"
"Bolboschoenus glaucus","Cyperaceae","Bolboschoenus","Single ID","Wild"
"Bolboschoenus maritimus","Cyperaceae","Bolboschoenus","Single ID","Wild"
"Bolboschoenus maritimus/Eleocharis dulcis","Cyperaceae","Bolboschoenus/Eleocharis","Multi ID","Wild"
"Boraginaceae","Boraginaceae","Above Genus ID","Single ID","Wild"
"Boreava orientalis","Brassicaceae","Boreava","Single ID","Wild"
"Brachypodium distachyon","Poaceae","Brachypodium","Single ID","Wild"
"Brachypodium/Bromus","Poaceae","Brachypodium/Bromus","Multi ID","Wild"
"Brassica","Brassicaceae","Brassica","Single ID","Wild"
"Brassica nigra","Brassicaceae","Brassica","Single ID","Wild"
"Brassica/Sinapis","Brassicaceae","Brassica/Sinapis","Multi ID","Wild"
"Brassica/Sinapis arvensis","Brassicaceae","Brassica/Sinapis","Multi ID","Wild"
"Brassicaceae","Brassicaceae","Above Genus ID","Single ID","Wild"
"Bromus","Poaceae","Bromus","Single ID","Wild"
"Bromus danthoniae","Poaceae","Bromus","Single ID","Wild"
"Bromus pseudobrachystachys/tigridis","Poaceae","Bromus","Multi ID","Wild"
"Bromus sterilis","Poaceae","Bromus","Single ID","Wild"
"Bryonia","Cucurbitaceae","Bryonia","Single ID","Wild"
"Buglossoides arvensis","Boraginaceae","Buglossoides","Single ID","Wild"
"Buglossoides arvensis/incrassata","Boraginaceae","Buglossoides","Multi ID","Wild"
"Buglossoides tenuiflora","Boraginaceae","Buglossoides","Single ID","Wild"
"Bupleurum","Apiaceae","Bupleurum","Single ID","Wild"
"Bupleurum rotundifolium","Apiaceae","Bupleurum","Single ID","Wild"
"Bupleurum subovatum","Apiaceae","Bupleurum","Single ID","Wild"
"Calendula","Asteraceae","Calendula","Single ID","Wild"
"Camelina","Brassicaceae","Camelina","Single ID","Wild"
"Camelina microcarpa","Brassicaceae","Camelina","Single ID","Wild"
"Camelina/Camphorosma","Amaranthaceae/Brassicaceae","Camelina/Camphorosma","Multi ID","Wild"
"Campanula","Campanulaceae","Campanula","Single ID","Wild"
"Campanulaceae","Campanulaceae","Above Genus ID","Single ID","Wild"
"Camphorosma","Amaranthaceae","Camphorosma","Single ID","Wild"
"Camphorosma monspeliaca","Amaranthaceae","Camphorosma","Single ID","Wild"
"Capparis","Capparaceae","Capparis","Single ID","Wild"
"Capparis spinosa","Capparaceae","Capparis","Single ID","Wild"
"Capsella","Brassicaceae","Capsella","Single ID","Wild"
"Capsella bursa-pastoris","Brassicaceae","Capsella","Single ID","Wild"
"Carduus australis","Asteraceae","Carduus","Single ID","Wild"
"Carex","Cyperaceae","Carex","Single ID","Wild"
"Carex divisa","Cyperaceae","Carex","Single ID","Wild"
"Carrichtera annua","Brassicaceae","Carrichtera","Single ID","Wild"
"Carthamus","Asteraceae","Carthamus","Single ID","Wild"
"Carthamus tenuis","Asteraceae","Carthamus","Single ID","Wild"
"Carthamus/Centaurea","Asteraceae","Carthamus/Centaurea","Multi ID","Wild"
"Caryophyllaceae","Caryophyllaceae","Above Genus ID","Single ID","Wild"
"Catabrosa aquatica","Poaceae","Catabrosa","Single ID","Wild"
"Celtis","Ulmaceae","Celtis","Single ID","Wild"
"Celtis australis/tournefortii","Ulmaceae","Celtis","Multi ID","Wild"
"Celtis tournefortii","Ulmaceae","Celtis","Single ID","Wild"
"Centaurea","Asteraceae","Centaurea","Single ID","Wild"
"Centaurea ammocyanus/pallescens","Asteraceae","Centaurea","Multi ID","Wild"
"Centaurea/Cirsium","Asteraceae","Centaurea/Cirsium","Multi ID","Wild"
"Cephalaria","Dipsacaceae","Cephalaria","Single ID","Wild"
"Cephalaria syriaca","Dipsacaceae","Cephalaria","Single ID","Wild"
"Cerastium","Caryophyllaceae","Cerastium","Single ID","Wild"
"Cerasus/Prunus","Rosaceae","Cerasus/Prunus","Multi ID","Wild"
"Ceratonia siliqua","Fabaceae","Ceratonia","Single ID","Wild"
"Cereal indeterminate","Poaceae","Hordeum/Triticum","Single ID","Presumed Crop Domesticate/Progenitor"
"Cerealia/Gramineae","Poaceae","Above Genus ID","Multi ID","Presumed Crop Domesticate/Progenitor"
"Chara","Characeae","Chara","Single ID","Wild"
"Chara/Nitella","Characeae","Chara/Nitella","Multi ID","Wild"
"Chenopodiaceae/Capparis","Amaranthaceae/Capparaceae","Above Genus ID","Multi ID","Wild"
"Chenopodiaceae/Caryophyllaceae","Amaranthaceae/Caryophyllaceae","Above Genus ID","Multi ID","Wild"
"Chenopodiaceae/Crucifer","Amaranthaceae/Brassicaceae","Above Genus ID","Multi ID","Wild"
"Chenopodium","Amaranthaceae","Chenopodium","Single ID","Wild"
"Chenopodium album","Amaranthaceae","Chenopodium","Single ID","Wild"
"Chenopodium chenopodioides","Amaranthaceae","Chenopodium","Single ID","Wild"
"Chenopodium glaucum","Amaranthaceae","Chenopodium","Single ID","Wild"
"Chenopodium murale","Amaranthaceae","Chenopodium","Single ID","Wild"
"Chenopodium rubrum","Amaranthaceae","Chenopodium","Single ID","Wild"
"Chrozophora","Euphorbiaceae","Chrozophora","Single ID","Wild"
"Chrozophora tinctoria","Euphorbiaceae","Chrozophora","Single ID","Wild"
"Chrysanthemum coronarium","Asteraceae","Chrysanthemum","Single ID","Wild"
"Cicer","Fabaceae","Cicer","Single ID","Wild"
"Cicer arietinum","Fabaceae","Cicer","Single ID","Domesticated crop"
"Cicer arietinum reticulatum/arietinum","Fabaceae","Cicer","Multi ID","Crop Domesticate/Progenitor"
"Cicer pinnatifidum","Fabaceae","Cicer","Single ID","Wild"
"Cirsium/Carduus","Asteraceae","Cirsium/Carduus","Multi ID","Wild"
"Cirsium/Carduus/Centaurea","Asteraceae","Cirsium/Carduus/Centaurea","Multi ID","Wild"
"Citrullus colocynthis","Cucurbitaceae","Citrullus","Single ID","Wild"
"Cladium mariscus","Cyperaceae","Cladium","Single ID","Wild"
"Clematis","Ranunculaceae","Clematis","Single ID","Wild"
"Cleome","Cleomaceae","Cleome","Single ID","Wild"
"Cleome ornithopodioides","Cleomaceae","Cleome","Single ID","Wild"
"Colutea","Fabaceae","Colutea","Single ID","Wild"
"Compositae/Labiatae","Asteraceae/Lamiaceae","Compositae/Labiatae","Multi ID","Wild"
"Conringia orientalis","Brassicaceae","Conringia","Single ID","Wild"
"Convolvulaceae","Convolvulaceae","Above Genus ID","Single ID","Wild"
"Convolvulus","Convolvulaceae","Convolvulus","Single ID","Wild"
"Convolvulus arvensis","Convolvulaceae","Convolvulus","Single ID","Wild"
"Cordia sinensis","Boraginaceae","Cordia","Single ID","Wild"
"Coriandrum sativum","Apiaceae","Coriandrum","Single ID","Wild"
"Cornucopiae cucullatum","Poaceae","Cornucopiae","Single ID","Wild"
"Cornus mas","Cornaceae","Cornus","Single ID","Wild"
"Coronilla","Fabaceae","Coronilla","Single ID","Wild"
"Corydalis","Papaveraceae","Corydalis","Single ID","Wild"
"Crataegus","Rosaceae","Crataegus","Single ID","Wild"
"Crepis","Asteraceae","Crepis","Single ID","Wild"
"Crithopis deliliana","Poaceae","Crithopis","Single ID","Wild"
"Crucianella","Rubiaceae","Crucianella","Single ID","Wild"
"Crupina crupinastrum","Asteraceae","Crupina","Single ID","Wild"
"Crypsis","Poaceae","Crypsis","Single ID","Wild"
"Crypsis aculeata","Poaceae","Crypsis","Single ID","Wild"
"Cucurbitaceae","Cucurbitaceae","Above Genus ID","Single ID","Wild"
