File Name,Description,Creation date,Software used,Software version,Entity relationship diagram file name (this should be enclosed separately),Supporting documentation file name (this should be enclosed separately),,
1_Site.txt; 2_SitePhase.text; 3_Records (Samples).txt; 4_References.txt; 5_Taxa Entries; 6_PlantPart Categories.txt; 7_Taxa Standardisation.txt; 8_Taxa Groups.txt,"This database compiles, from published sources, the sample records of archaeobotanical (plant) remains from archaeological sites located in southwest Asia, central Anatolia and Cyprus dated to the Pre-Pottery Neolithic or earlier.",01-Sep-11,Microsoft Access,Version 1802,,Wallace OA db_ADS_collection_level_metadata_template.docx,,
,,,,,,,,
Table Name,Table Description,Primary Key,Foreign Key,Field Name,"Field Description (inc. units of measurements, description of codes, etc. used within each field).",Field Data Type,Field Length,
1_Site,Details of archaeological sites,SiteName,,SiteName,usual spelling of a site’s name,Short Text,,
1_Site,Details of archaeological sites,SiteName,,SiteCode,four-letter site code (exclusive to this database),Short Text,,
1_Site,Details of archaeological sites,SiteName,,Region,geographic region of the site,Short Text,,
1_Site,Details of archaeological sites,SiteName,,Latitude,latitude of the site in decimal degrees,Number,,
1_Site,Details of archaeological sites,SiteName,,Longitude,longitude of the site in decimal degrees,Number,,
2_SitePhase,Details of occupation phases for each site,SiteName (SPh),SiteName,SiteName (SPh),foreign key,Short Text,,
2_SitePhase,Details of occupation phases for each site,SiteName (SPh),SiteName,SitePhase-ID,unique name of phase (exclusive to this database),Short Text,,
2_SitePhase,Details of occupation phases for each site,SiteName (SPh),SiteName,PhaseName,name of the phase (not unique to a site),Short Text,,
2_SitePhase,Details of occupation phases for each site,SiteName (SPh),SiteName,PhaseDescription,description of the phase (not unique to a site),Short Text,,
2_SitePhase,Details of occupation phases for each site,SiteName (SPh),SiteName,ApproxStartBC,approximate start year of the phase in years BC,Number,,
2_SitePhase,Details of occupation phases for each site,SiteName (SPh),SiteName,ApproxEndBC,approximate end year of the phase in years BC,Number,,
2_SitePhase,Details of occupation phases for each site,SiteName (SPh),SiteName,MainPeriod,classification of chronological cultural period,Short Text,,
3_Records (Samples),Details of individual samples,RecordID,SitePhase-ID; RefCode,SitePhase-ID,foreign key,Short Text,,
3_Records (Samples),Details of individual samples,RecordID,SitePhase-ID; RefCode,RecordID,unique sample identifier (exclusive to this database),Short Text,,
3_Records (Samples),Details of individual samples,RecordID,SitePhase-ID; RefCode,Context,basic context information (if available),Short Text,,
3_Records (Samples),Details of individual samples,RecordID,SitePhase-ID; RefCode,ContextDetail,detailed context information (if available),Short Text,,
3_Records (Samples),Details of individual samples,RecordID,SitePhase-ID; RefCode,RecordType,indication whether contents pertain to a single sample or an amalgamation of samples,Short Text,,
3_Records (Samples),Details of individual samples,RecordID,SitePhase-ID; RefCode,Flot,flot number (if available),Short Text,,
3_Records (Samples),Details of individual samples,RecordID,SitePhase-ID; RefCode,Area,excavation area (if available),Short Text,,
3_Records (Samples),Details of individual samples,RecordID,SitePhase-ID; RefCode,Unit,excavation unit (if available),Short Text,,
3_Records (Samples),Details of individual samples,RecordID,SitePhase-ID; RefCode,Level,excavation level (if available),Short Text,,
3_Records (Samples),Details of individual samples,RecordID,SitePhase-ID; RefCode,Notes,notes,Short Text,,
3_Records (Samples),Details of individual samples,RecordID,SitePhase-ID; RefCode,Volume,sediment volume in litres (if available),Number,,
3_Records (Samples),Details of individual samples,RecordID,SitePhase-ID; RefCode,RecoveryMethod,mode of recovery (e.g. flotation) if known,Short Text,,
3_Records (Samples),Details of individual samples,RecordID,SitePhase-ID; RefCode,Exclusion notes (if any),any reason to exclude samples from analysis (blank indicates included),Short Text,,
3_Records (Samples),Details of individual samples,RecordID,SitePhase-ID; RefCode,RefCode,foreign key,Short Text,,
4_References,Details of source publications ,RefCode,,Refcode,unique identifier of the source publication (exclusive to this database),Short Text,,
4_References,Details of source publications ,RefCode,,Author,author(s) of source publication,Short Text,,
4_References,Details of source publications ,RefCode,,PubYear,publication year of source publication,Short Text,,
4_References,Details of source publications ,RefCode,,Title,title of source publication,Short Text,,
4_References,Details of source publications ,RefCode,,Editor,editor(s) of source reference (if applicable),Short Text,,
4_References,Details of source publications ,RefCode,,BookTitle,book title of source reference (if applicable),Short Text,,
4_References,Details of source publications ,RefCode,,Journal,journal title of source reference (if applicable),Short Text,,
4_References,Details of source publications ,RefCode,,Volume,volume number of source reference (if applicable),Short Text,,
4_References,Details of source publications ,RefCode,,IssueNo,issue number of source reference (if applicable),Number,,
4_References,Details of source publications ,RefCode,,Publisher,publisher of source reference (if applicable),Short Text,,
