canon	variant	genus	family	crop_type	grass_type	legume_type	wood
Sambucus ebulus	Sambucus ebulus L.	Sambucus	Adoxaceae	Wild	NA	NA	NA
Aizoon hispanicum	Aizoon hispanicum	Aizoon	Aizoaceae	Wild	NA	NA	NA
Aizoon sp.	Aizoon	Aizoon	Aizoaceae	Wild	NA	NA	NA
Aizoon sp.	Aizoon sp.	Aizoon	Aizoaceae	Wild	NA	NA	NA
Mesembryanthemum nodiflorum	Mesembryanthemum nodiflorum	Mesembryanthemum	Aizoaceae	Wild	NA	NA	NA
Amaranthus sp.	Amaranthus	Amaranthus	Amaranthaceae	Wild	NA	NA	NA
Amaranthus sp.	Amaranthus sp.	Amaranthus	Amaranthaceae	Wild	NA	NA	NA
Amaranthus sp.	Amaranthus sp. uncarbonized	Amaranthus	Amaranthaceae	Wild	NA	NA	NA
Anabasis articulata	Anabasis articulata	Anabasis	Amaranthaceae	Wild	NA	NA	NA
Anabasis sp.	Anabasis sp. wood	Anabasis	Amaranthaceae	Wild	NA	NA	TRUE
Bassia arabica	Bassia arabica	Bassia	Amaranthaceae	Wild	NA	NA	NA
Bassia muricata	Bassia muricata	Bassia	Amaranthaceae	Wild	NA	NA	NA
Bassia prostrata	Bassia prostrata	Bassia	Amaranthaceae	Wild	NA	NA	NA
Bassia sp.	cf. Kochia, wood	Bassia	Amaranthaceae	Wild	NA	NA	TRUE
Beta sp.	Beta	Beta	Amaranthaceae	Wild	NA	NA	NA
Beta sp.	Beta sp.	Beta	Amaranthaceae	Wild	NA	NA	NA
Beta vulgaris	Beta vulgaris L.	Beta	Amaranthaceae	Wild	NA	NA	NA
Camphorosma monspeliaca	Camphorosma monspeliaca	Camphorosma	Amaranthaceae	Wild	NA	NA	NA
Camphorosma sp.	Camphorosma	Camphorosma	Amaranthaceae	Wild	NA	NA	NA
Cornulaca monacantha	Cornulaca monacantha	Cornulaca	Amaranthaceae	Wild	NA	NA	NA
Halothamnus hierochunticus	Halothamnus hierochunticus	Halothamnus	Amaranthaceae	Wild	NA	NA	NA
Krascheninnikovia ceratoides	Krascheninnikovia ceratoides	Krascheninnikovia	Amaranthaceae	Wild	NA	NA	NA
NA	Amaranthaceae	NA	Amaranthaceae	Wild	NA	NA	NA
NA	Anabasis/Noaea	NA	Amaranthaceae	Wild	NA	NA	NA
NA	Hammada/Salsola	NA	Amaranthaceae	Wild	NA	NA	NA
NA	Salsola/Suaeda	NA	Amaranthaceae	Wild	NA	NA	NA
NA	Salsoleae	NA	Amaranthaceae	Wild	NA	NA	NA
Polycnemum majus	Polycnemum majus A.Braun	Polycnemum	Amaranthaceae	Wild	NA	NA	NA
Salsola inermis	Salsola inermis Forssk.	Salsola	Amaranthaceae	Wild	NA	NA	NA
Salsola kali	Salsola kali	Salsola	Amaranthaceae	Wild	NA	NA	NA
Salsola sp.	Salsola	Salsola	Amaranthaceae	Wild	NA	NA	NA
Salsola volkensii	Salsola volkensii	Salsola	Amaranthaceae	Wild	NA	NA	NA
Suaeda fruticosa	Suaeda fruticosa	Suaeda	Amaranthaceae	Wild	NA	NA	NA
Suaeda maritima	Suaeda maritima L.	Suaeda	Amaranthaceae	Wild	NA	NA	NA
Suaeda palaestina	Suaeda palaestina	Suaeda	Amaranthaceae	Wild	NA	NA	NA
Suaeda sp.	cf. Suaeda sp.	Suaeda	Amaranthaceae	Wild	NA	NA	NA
Suaeda sp.	cf. Suaeda sp. uncarbonized	Suaeda	Amaranthaceae	Wild	NA	NA	NA
Suaeda sp.	Suaeda	Suaeda	Amaranthaceae	Wild	NA	NA	NA
Suaeda sp.	Suaeda sp.	Suaeda	Amaranthaceae	Wild	NA	NA	NA
Allium sativum	Allium sativum	Allium	Amaryllidaceae	Wild	NA	NA	NA
Pistacia atlantica	Pistacia atlantica	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia atlantica	Pistacia atlantica Desf.	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia atlantica	Pistacia atlantica Desf. wood	Pistacia	Anacardiaceae	Wild	NA	NA	TRUE
Pistacia lentiscus	Pistacia lentiscus	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia lentiscus	Pistacia lentiscus L. wood	Pistacia	Anacardiaceae	Wild	NA	NA	TRUE
Pistacia palaestina	Pistacia palaestina	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia palaestina	Pistacia palaestina wood	Pistacia	Anacardiaceae	Wild	NA	NA	TRUE
Pistacia sp.	cf. Pistacia sp.	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia sp.	Pistacia	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia sp.	Pistacia atlantica/khinjuk	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia sp.	Pistacia atlantica/palaestina	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia sp.	Pistacia atlantica/terebinthus	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia sp.	Pistacia sp.	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia sp.	Pistacia terebinthus/lentiscus	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia terebinthus	Pistacia terebinthus	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia terebinthus	Pistacia terebinthus L.	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia vera	Pistacia vera L.	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Pistacia sp.	Pisticia spp.	Pistacia	Anacardiaceae	Wild	NA	NA	NA
Ammi majus	Ammi majus	Ammi	Apiaceae	Wild	NA	NA	NA
Apium graveolens	Apium graveolens	Apium	Apiaceae	Wild	NA	NA	NA
Bifora sp.	Bifora	Bifora	Apiaceae	Wild	NA	NA	NA
Bupleurum lancifolium	Bupleurum lancifolium	Bupleurum	Apiaceae	Wild	NA	NA	NA
Bupleurum rotundifolium	Bupleurum rotundifolium	Bupleurum	Apiaceae	Wild	NA	NA	NA
Bupleurum sp.	Bupleurum	Bupleurum	Apiaceae	Wild	NA	NA	NA
Bupleurum sp.	Bupleurum sp. L.	Bupleurum	Apiaceae	Wild	NA	NA	NA
Bupleurum sp.	cf. Bupleurum sp.	Bupleurum	Apiaceae	Wild	NA	NA	NA
Bupleurum subovatum	Bupleurum subovatum	Bupleurum	Apiaceae	Wild	NA	NA	NA
Coriandrum sativum	Coriandrum sativum	Coriandrum	Apiaceae	Wild	NA	NA	NA
Cuminum cyminum	Cuminum cyminum	Cuminum	Apiaceae	Wild	NA	NA	NA
NA	Apiaceae indeterminate	NA	Apiaceae	Wild	NA	NA	NA
NA	Umbelliferae	NA	Apiaceae	Wild	NA	NA	NA
Torilis nodosa	Torilis nodosa	Torilis	Apiaceae	Wild	NA	NA	NA
Torilis sp.	Torilis type	Torilis	Apiaceae	Wild	NA	NA	NA
NA	Asclepiadaceae	NA	Apocynaceae	Wild	NA	NA	NA
Cladium mariscus	Cladium mariscus	Cladium	Araceae	Wild	NA	NA	NA
Cladium mariscus	Cladium mariscus (L.) Pohl	Cladium	Araceae	Wild	NA	NA	NA
Asparagus sp.	Asparagus	Asparagus	Asparagaceae	Wild	NA	NA	NA
Bellevalia sp.	Bellevalia	Bellevalia	Asparagaceae	Wild	NA	NA	NA
Bellevalia sp.	Bellevalia sp.	Bellevalia	Asparagaceae	Wild	NA	NA	NA
Bellevalia sp.	Bellevalia type	Bellevalia	Asparagaceae	Wild	NA	NA	NA
Bellevalia sp.	cf. Bellevalia sp.	Bellevalia	Asparagaceae	Wild	NA	NA	NA
Hyacinthus sp.	Hyacinthus sp.	Hyacinthus	Asparagaceae	Wild	NA	NA	NA
Muscari sp.	Muscari	Muscari	Asparagaceae	Wild	NA	NA	NA
NA	Bellevalia/Muscari	NA	Asparagaceae	Wild	NA	NA	NA
NA	Bellevalia/Muscari sp.	NA	Asparagaceae	Wild	NA	NA	NA
NA	Bellevalia/Ornithogalum	NA	Asparagaceae	Wild	NA	NA	NA
NA	Muscari/Ornithogalum	NA	Asparagaceae	Wild	NA	NA	NA
NA	Ornithogalum/Muscari	NA	Asparagaceae	Wild	NA	NA	NA
Ornithogalum sp.	Ornithogalum	Ornithogalum	Asparagaceae	Wild	NA	NA	NA
Ornithogalum sp.	Ornithogalum sp.	Ornithogalum	Asparagaceae	Wild	NA	NA	NA
Ornithogalum sp.	Ornithogalum type	Ornithogalum	Asparagaceae	Wild	NA	NA	NA
Polygonatum sp.	Polygonatum sp.	Polygonatum	Asparagaceae	Wild	NA	NA	NA
Asphodelus aestivus	Asphodelus aestivus	Asphodelus	Asphodelaceae	Wild	NA	NA	NA
Asphodelus sp.	Asphodelus	Asphodelus	Asphodelaceae	Wild	NA	NA	NA
Asphodelus tenuifolius	Asphodelus tenuifolius	Asphodelus	Asphodelaceae	Wild	NA	NA	NA
Achillea sp.	Achillea	Achillea	Asteraceae	Wild	NA	NA	NA
Achillea wilhelmsii	Achillea wilhelmsii	Achillea	Asteraceae	Wild	NA	NA	NA
Anthemis arvensis	Anthemis arvensis L.	Anthemis	Asteraceae	Wild	NA	NA	NA
Anthemis cotula	Anthemis cotula L.	Anthemis	Asteraceae	Wild	NA	NA	NA
Anthemis pseudocotula	Anthemis pseudocotula	Anthemis	Asteraceae	Wild	NA	NA	NA
Anthemis pseudocotula	Anthemis pseudocotula Boiss.	Anthemis	Asteraceae	Wild	NA	NA	NA
Anthemis sp.	Anthemis sp. L.	Anthemis	Asteraceae	Wild	NA	NA	NA
Anvillea garcinii	Anvillea garcinii	Anvillea	Asteraceae	Wild	NA	NA	NA
Arctium lappa	Arctium lappa (Boiss. & Bal.)	Arctium	Asteraceae	Wild	NA	NA	NA
Artemisia sp.	Artemisia	Artemisia	Asteraceae	Wild	NA	NA	NA
Artemisia sp.	Artemisia sp. L.	Artemisia	Asteraceae	Wild	NA	NA	NA
Artemisia sp.	cf. Artemisia sp.	Artemisia	Asteraceae	Wild	NA	NA	NA
Asteriscus graveolens	Asteriscus graveolens	Asteriscus	Asteraceae	Wild	NA	NA	NA
Calendula arvensis	Calendula arvensis L.	Calendula	Asteraceae	Wild	NA	NA	NA
Calendula sp.	Calendula	Calendula	Asteraceae	Wild	NA	NA	NA
Carduus australis	Carduus australis	Carduus	Asteraceae	Wild	NA	NA	NA
Carthamus creticus	Carthamus creticus type	Carthamus	Asteraceae	Wild	NA	NA	NA
Carthamus sp.	Carthamus	Carthamus	Asteraceae	Wild	NA	NA	NA
Carthamus sp.	Carthamus sp. L.	Carthamus	Asteraceae	Wild	NA	NA	NA
Carthamus tenuis	Carthamus tenuis	Carthamus	Asteraceae	Wild	NA	NA	NA
Centaurea pallescens	Centaurea pallescens	Centaurea	Asteraceae	Wild	NA	NA	NA
Centaurea sp.	Centaurea	Centaurea	Asteraceae	Wild	NA	NA	NA
Centaurea sp.	Centaurea ammocyanus/pallescens	Centaurea	Asteraceae	Wild	NA	NA	NA
Centaurea sp.	Centaurea sp. L.	Centaurea	Asteraceae	Wild	NA	NA	NA
Centaurea sp.	Centaurea sp. L. uncarbonized	Centaurea	Asteraceae	Wild	NA	NA	NA
Ceruana pratensis	Ceruana pratensis	Ceruana	Asteraceae	Wild	NA	NA	NA
Chrysanthemum coronarium	Chrysanthemum coronarium	Chrysanthemum	Asteraceae	Wild	NA	NA	NA
