founder_crop,period,site_name,phase_code,plant_part,age,total_remains,references
barley,Late Epipal.,Abu Hureyra,ABHU Epip2,undifferentiated,12984–12055 BP,6,MooreEtal2000
barley,Late Epipal.,Abu Hureyra,ABHU Epip3,undifferentiated,12055–11770 BP,15,MooreEtal2000
barley,Late Epipal.,Iraq ed-Dubb,IEDU L-Natufian,undifferentiated,13250–12250 BP,32,Colledge2001
barley,Late Epipal.,Mureybet,MURE L-Epi/PPNA,undifferentiated,12050–11950 BP,7,VZBH84_3
barley,Late Epipal.,Wadi Hammeh 27,WH27 Epip,undifferentiated,14111–12660 BP,6,Colledge2001
barley,PPNA,Chogha Bonut,CHBO Aceramic,undifferentiated,12850–8800 BP,0.39,Miller03
barley,PPNA,Chogha Golan,CHGO-iX,undifferentiated,10850–10650 BP,49,RiehlEtal2013
barley,PPNA,Chogha Golan,CHGO-X,undifferentiated,11050–10850 BP,72,RiehlEtal2013
barley,PPNA,Chogha Golan,CHGO-XI,undifferentiated,11250–11050 BP,604,RiehlEtal2013
barley,PPNA,El-Hemmeh,EHEM-PPNA,undifferentiated,11070–10520 BP,331,WhiteMakarewicz11
barley,PPNA,Gesher,GESH PPNA,undifferentiated,11505–11218 BP,1,KislevEtal04
barley,PPNA,Gilgal I,GILG PPNA,undifferentiated,11250–11206 BP,260000,WeissEtal06
barley,PPNA,Hayonim Cave,HAYC Epip,undifferentiated,12250–10950 BP,2,HopfBarYosef87
barley,PPNA,Iraq ed-Dubb,IEDU PPNA,undifferentiated,11650–11150 BP,47,Colledge2001
barley,PPNA,Jerf el Ahmar,JEAH PPNA,undifferentiated,11450–10650 BP,26979.9,"c(""WillcoxFornite99"", ""Willcox96"", ""WFH08"", ""Willcox02"")"
barley,PPNA,Körtik Tepe,KORT-PPNA,undifferentiated,11650–11200 BP,6,RiehlEtal2011
barley,PPNA,M'lefaat,MLEF PPNA,undifferentiated,11270–11140 BP,269,SavardNesbittGale2003
barley,PPNA,Mureybet,MURE PPNA,undifferentiated,11650–11250 BP,185,"c(""VZBH84_3"", ""WillcoxFornite99"")"
barley,PPNA,Mureybet,MURE PPNB,undifferentiated,11350–10750 BP,3,VZBH84_3
barley,PPNA,Netiv Hagdud,NEHA PPNA,undifferentiated,11603–10586 BP,5134,Kislev97
barley,PPNA,Tell 'Abr,TABR PPNA,undifferentiated,11245–10776 BP,190,WFH08
barley,PPNA,Tell Aswad,TASW E-PPNB,undifferentiated,11231–10658 BP,8,VanZeistBakkerHeeres82
barley,PPNA,Tell es-Sultan,JERI PPNA,undifferentiated,12250–10750 BP,37,Hopf83
